input: [SCENE]: scene_context [ACTION]: player_input,output: [CHECK]: check_required
input: [SCENE]: A vampire has you mesmerized with its gaze. [ACTION]: I try to resist the magical charm by focusing on my holy symbol.,output: [CHECK]: Wisdom
"input: [SCENE]: You are in a volcanic cavern, and the heat is almost unbearable. [ACTION]: I try to endure the extreme heat.",output: [CHECK]: Constitution
"input: [SCENE]: You are in a volcanic cavern, and the heat is almost unbearable. [ACTION]: I try to endure the extreme heat.",output: [CHECK]: Constitution
input: [SCENE]: You are speaking with a mischievous fey creature. [ACTION]: I try to see through its illusions.,output: [CHECK]: Investigation
input: [SCENE]: You are speaking with a mischievous fey creature. [ACTION]: I try to see through its illusions.,output: [CHECK]: Investigation
"input: [SCENE]: You are in a smithy, and your shield is dented. [ACTION]: I attempt to repair my shield myself.",output: [CHECK]: Smith's Tools
"input: [SCENE]: You are in a smithy, and your shield is dented. [ACTION]: I attempt to repair my shield myself.",output: [CHECK]: Smith's Tools
"input: [SCENE]: You need to get past a door that is magically sealed. [ACTION]: I try to find a non-magical solution, like a hidden latch or pulley.",output: [CHECK]: Perception
"input: [SCENE]: You need to get past a door that is magically sealed. [ACTION]: I try to find a non-magical solution, like a hidden latch or pulley.",output: [CHECK]: Perception
input: [SCENE]: You are in a petrified forest. [ACTION]: I try to sense if there is any life left in the stone trees.,output: [CHECK]: Nature
input: [SCENE]: You are in a petrified forest. [ACTION]: I try to sense if there is any life left in the stone trees.,output: [CHECK]: Nature
input: [SCENE]: You are trying to start a rumor in a tavern. [ACTION]: I discreetly spread a juicy piece of gossip among the patrons.,output: [CHECK]: Deception
input: [SCENE]: You are trying to start a rumor in a tavern. [ACTION]: I discreetly spread a juicy piece of gossip among the patrons.,output: [CHECK]: Deception
input: [SCENE]: You are in a drinking contest. [ACTION]: I attempt to out-drink my opponent.,output: [CHECK]: Constitution
input: [SCENE]: You are in a drinking contest. [ACTION]: I attempt to out-drink my opponent.,output: [CHECK]: Constitution
input: [SCENE]: You are in a collapsing ruin. A large piece of the ceiling is about to fall on you. [ACTION]: I try to dodge out of the way.,output: [CHECK]: Acrobatics
input: [SCENE]: You are in a collapsing ruin. A large piece of the ceiling is about to fall on you. [ACTION]: I try to dodge out of the way.,output: [CHECK]: Acrobatics
input: [SCENE]: You are trying to write a song that will impress a noble. [ACTION]: I try to compose a masterpiece.,output: [CHECK]: Performance
input: [SCENE]: You are trying to write a song that will impress a noble. [ACTION]: I try to compose a masterpiece.,output: [CHECK]: Performance
input: [SCENE]: You are in a moment of despair. [ACTION]: I pray for guidance and strength.,output: [CHECK]: Religion
input: [SCENE]: You are in a moment of despair. [ACTION]: I pray for guidance and strength.,output: [CHECK]: Religion
input: [SCENE]: You are trying to set a trap for a dangerous beast. [ACTION]: I use my knowledge of the beast's habits to set a clever trap.,output: [CHECK]: Survival
input: [SCENE]: You are trying to set a trap for a dangerous beast. [ACTION]: I use my knowledge of the beast's habits to set a clever trap.,output: [CHECK]: Survival
input: [SCENE]: You are trying to communicate with a creature that speaks only in telepathic images. [ACTION]: I try to interpret the images it sends me.,output: [CHECK]: Insight
input: [SCENE]: You are trying to communicate with a creature that speaks only in telepathic images. [ACTION]: I try to interpret the images it sends me.,output: [CHECK]: Insight
input: [SCENE]: You are participating in a jousting tournament. [ACTION]: I try to unseat my opponent.,output: [CHECK]: Animal Handling
input: [SCENE]: You are participating in a jousting tournament. [ACTION]: I try to unseat my opponent.,output: [CHECK]: Animal Handling
"input: [SCENE]: You are trying to walk across a floor covered in brittle, dry leaves without making a sound. [ACTION]: I try to move with absolute silence.",output: [CHECK]: Stealth
"input: [SCENE]: You are trying to walk across a floor covered in brittle, dry leaves without making a sound. [ACTION]: I try to move with absolute silence.",output: [CHECK]: Stealth
input: [SCENE]: A river is polluted with alchemical waste. [ACTION]: I use my magic to cleanse the water.,output: [CHECK]: Nature
input: [SCENE]: A river is polluted with alchemical waste. [ACTION]: I use my magic to cleanse the water.,output: [CHECK]: Nature
input: [SCENE]: You are trying to appraise a gemstone you found. [ACTION]: I try to determine its value.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to appraise a gemstone you found. [ACTION]: I try to determine its value.,output: [CHECK]: Investigation
input: [SCENE]: You are wrestling a large bear. [ACTION]: I try to grapple it into submission.,output: [CHECK]: Athletics
input: [SCENE]: You are wrestling a large bear. [ACTION]: I try to grapple it into submission.,output: [CHECK]: Athletics
input: [SCENE]: You are trying to activate an ancient magical portal. [ACTION]: I try to remember the correct sequence of runes to activate it.,output: [CHECK]: History
input: [SCENE]: You are trying to activate an ancient magical portal. [ACTION]: I try to remember the correct sequence of runes to activate it.,output: [CHECK]: History
input: [SCENE]: You are in the middle of a tense negotiation between two rival guilds. [ACTION]: I act as a neutral mediator and try to find a compromise.,output: [CHECK]: Persuasion
input: [SCENE]: You are in the middle of a tense negotiation between two rival guilds. [ACTION]: I act as a neutral mediator and try to find a compromise.,output: [CHECK]: Persuasion
input: [SCENE]: You find a person who has been turned to stone. [ACTION]: I try to determine if the curse can be reversed.,output: [CHECK]: Medicine
input: [SCENE]: You find a person who has been turned to stone. [ACTION]: I try to determine if the curse can be reversed.,output: [CHECK]: Medicine
"input: [SCENE]: You are trying to follow tracks over hard, rocky ground. [ACTION]: I try to find subtle signs of passage.",output: [CHECK]: Survival
"input: [SCENE]: You are trying to follow tracks over hard, rocky ground. [ACTION]: I try to find subtle signs of passage.",output: [CHECK]: Survival
input: [SCENE]: You are trying to convince a demon to give you its true name. [ACTION]: I try to trick the demon into revealing its name.,output: [CHECK]: Deception
input: [SCENE]: You are trying to convince a demon to give you its true name. [ACTION]: I try to trick the demon into revealing its name.,output: [CHECK]: Deception
input: [SCENE]: You are giving a speech to rally the castle guards before a siege. [ACTION]: I try to inspire them with a speech about duty and honor.,output: [CHECK]: Performance
input: [SCENE]: You are giving a speech to rally the castle guards before a siege. [ACTION]: I try to inspire them with a speech about duty and honor.,output: [CHECK]: Performance
input: [SCENE]: You are trying to snatch a pebble from your master's hand. [ACTION]: I try to be faster than my master's eye.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are trying to snatch a pebble from your master's hand. [ACTION]: I try to be faster than my master's eye.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are in an area where the magical weave is thin. [ACTION]: I try to communicate with the local nature spirits.,output: [CHECK]: Nature
input: [SCENE]: You are in an area where the magical weave is thin. [ACTION]: I try to communicate with the local nature spirits.,output: [CHECK]: Nature
input: [SCENE]: You are trying to bluff your way past a city gate. [ACTION]: I claim to be a messenger with an urgent delivery for the king.,output: [CHECK]: Deception
input: [SCENE]: You are trying to bluff your way past a city gate. [ACTION]: I claim to be a messenger with an urgent delivery for the king.,output: [CHECK]: Deception
input: [SCENE]: You are trying to intimidate a group of goblins. [ACTION]: I smash a large rock with my bare hands to show them my strength.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to intimidate a group of goblins. [ACTION]: I smash a large rock with my bare hands to show them my strength.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to identify a magical creature. [ACTION]: I try to recall its description from a bestiary I've read.,output: [CHECK]: History
input: [SCENE]: You are trying to identify a magical creature. [ACTION]: I try to recall its description from a bestiary I've read.,output: [CHECK]: History
input: [SCENE]: You are trying to haggle with a merchant over the price of a lute. [ACTION]: I try to charm the merchant into giving me a discount.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to haggle with a merchant over the price of a lute. [ACTION]: I try to charm the merchant into giving me a discount.,output: [CHECK]: Persuasion
input: [SCENE]: You find a holy text that has been desecrated. [ACTION]: I perform a ritual to restore the text.,output: [CHECK]: Religion
input: [SCENE]: You find a holy text that has been desecrated. [ACTION]: I perform a ritual to restore the text.,output: [CHECK]: Religion
input: [SCENE]: You are trying to see in the dark. [ACTION]: I use my keen senses to navigate the darkness.,output: [CHECK]: Perception
input: [SCENE]: You are trying to see in the dark. [ACTION]: I use my keen senses to navigate the darkness.,output: [CHECK]: Perception
input: [SCENE]: You are trying to control a minor demon you have summoned. [ACTION]: I try to bind it to my will.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to control a minor demon you have summoned. [ACTION]: I try to bind it to my will.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to calm a panicked crowd. [ACTION]: I try to restore order with my commanding presence.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to calm a panicked crowd. [ACTION]: I try to restore order with my commanding presence.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to endure a painful ritual. [ACTION]: I try to enter a meditative trance to block out the pain.,output: [CHECK]: Constitution
input: [SCENE]: You are trying to endure a painful ritual. [ACTION]: I try to enter a meditative trance to block out the pain.,output: [CHECK]: Constitution
input: [SCENE]: You are trying to find a specific herb in a dense forest. [ACTION]: I use my knowledge of plants to find it.,output: [CHECK]: Nature
input: [SCENE]: You are trying to find a specific herb in a dense forest. [ACTION]: I use my knowledge of plants to find it.,output: [CHECK]: Nature
input: [SCENE]: You are in a decrepit clock tower. The central mechanism is rusted and jammed. [ACTION]: I try to repair the clockwork mechanism with my tools.,output: [CHECK]: Tinker's Tools
input: [SCENE]: You are in a decrepit clock tower. The central mechanism is rusted and jammed. [ACTION]: I try to repair the clockwork mechanism with my tools.,output: [CHECK]: Tinker's Tools
input: [SCENE]: You are standing before a horde of advancing zombies. [ACTION]: I channel my divine power to turn the undead.,output: [CHECK]: Religion
input: [SCENE]: You are standing before a horde of advancing zombies. [ACTION]: I channel my divine power to turn the undead.,output: [CHECK]: Religion
input: [SCENE]: You are in a secret auction for illicit goods. [ACTION]: I try to spot which of the attendees is the wealthiest.,output: [CHECK]: Perception
input: [SCENE]: You are in a secret auction for illicit goods. [ACTION]: I try to spot which of the attendees is the wealthiest.,output: [CHECK]: Perception
"input: [SCENE]: You are fording a rushing, chest-deep river. [ACTION]: I try to hold my ground against the strong current.",output: [CHECK]: Athletics
"input: [SCENE]: You are fording a rushing, chest-deep river. [ACTION]: I try to hold my ground against the strong current.",output: [CHECK]: Athletics
input: [SCENE]: You have found the spellbook of a rival archmage. [ACTION]: I scan the book for any spells I don't already know.,output: [CHECK]: Arcana
input: [SCENE]: You have found the spellbook of a rival archmage. [ACTION]: I scan the book for any spells I don't already know.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to cross a border into a hostile nation. [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel.,output: [CHECK]: Deception
input: [SCENE]: You are trying to cross a border into a hostile nation. [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel.,output: [CHECK]: Deception
input: [SCENE]: You have found a wounded soldier on a battlefield. [ACTION]: I use my knowledge to triage their wounds and stop the bleeding.,output: [CHECK]: Medicine
input: [SCENE]: You have found a wounded soldier on a battlefield. [ACTION]: I use my knowledge to triage their wounds and stop the bleeding.,output: [CHECK]: Medicine
input: [SCENE]: You are tracking your quarry through a swamp at night. [ACTION]: I listen for the sound of its movement in the water.,output: [CHECK]: Perception
input: [SCENE]: You are tracking your quarry through a swamp at night. [ACTION]: I listen for the sound of its movement in the water.,output: [CHECK]: Perception
input: [SCENE]: You are trying to resist the maddening whispers of a cursed object. [ACTION]: I focus my mind and attempt to ignore the whispers.,output: [CHECK]: Wisdom
input: [SCENE]: You are trying to resist the maddening whispers of a cursed object. [ACTION]: I focus my mind and attempt to ignore the whispers.,output: [CHECK]: Wisdom
input: [SCENE]: A peasant accuses a wealthy merchant of stealing his land. [ACTION]: I try to discern which of them is telling the truth.,output: [CHECK]: Insight
input: [SCENE]: A peasant accuses a wealthy merchant of stealing his land. [ACTION]: I try to discern which of them is telling the truth.,output: [CHECK]: Insight
"input: [SCENE]: You are running along the top of a narrow, crumbling wall. [ACTION]: I maintain my footing on the treacherous surface.",output: [CHECK]: Acrobatics
"input: [SCENE]: You are running along the top of a narrow, crumbling wall. [ACTION]: I try to maintain my footing on the treacherous surface.",output: [CHECK]: Acrobatics
"input: [SCENE]: You are in a clearing filled with agitated, buzzing sprites. [ACTION]: I attempt to speak to them to find out what has them so upset.",output: [CHECK]: Sylvan
"input: [SCENE]: You are in a clearing filled with agitated, buzzing sprites. [ACTION]: I attempt to speak to them to find out what has them so upset.",output: [CHECK]: Sylvan
input: [SCENE]: You are facing a construct that is immune to magic. [ACTION]: I try to find a weak point in its mechanical joints.,output: [CHECK]: Investigation
input: [SCENE]: You are facing a construct that is immune to magic. [ACTION]: I try to find a weak point in its mechanical joints.,output: [CHECK]: Investigation
input: [SCENE]: A commoner is dying from a seemingly incurable disease. [ACTION]: I lay my hands on them and channel divine healing energy.,output: [CHECK]: Medicine
input: [SCENE]: A commoner is dying from a seemingly incurable disease. [ACTION]: I lay my hands on them and channel divine healing energy.,output: [CHECK]: Medicine
input: [SCENE]: You are trying to escape from a jail cell. The lock is complex. [ACTION]: I use my thieves' tools to try and open the cell door.,output: [CHECK]: Thieves' Tools
input: [SCENE]: You are trying to escape from a jail cell. The lock is complex. [ACTION]: I use my thieves' tools to try and open the cell door.,output: [CHECK]: Thieves' Tools
"input: [SCENE]: You are arm-wrestling a giant of a man in a tavern. [ACTION]: I use my raw, brute strength to overwhelm him.",output: [CHECK]: Athletics
"input: [SCENE]: You are arm-wrestling a giant of a man in a tavern. [ACTION]: I use my raw, brute strength to overwhelm him.",output: [CHECK]: Athletics
input: [SCENE]: You find a book written in a cipher. [ACTION]: I try to decode the message.,output: [CHECK]: Intelligence
input: [SCENE]: You find a book written in a cipher. [ACTION]: I try to decode the message.,output: [CHECK]: Intelligence
input: [SCENE]: You are trying to get information from a tight-lipped informant. [ACTION]: I try to charm the information out of them.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to get information from a tight-lipped informant. [ACTION]: I try to charm the information out of them.,output: [CHECK]: Persuasion
input: [SCENE]: You are in a cursed tomb where shadows seem to move on their own. [ACTION]: I try to spot the source of the unnatural shadows.,output: [CHECK]: Perception
input: [SCENE]: You are in a cursed tomb where shadows seem to move on their own. [ACTION]: I try to spot the source of the unnatural shadows.,output: [CHECK]: Perception
input: [SCENE]: You are lost in a blizzard. [ACTION]: I try to build a snow cave for shelter.,output: [CHECK]: Survival
input: [SCENE]: You are lost in a blizzard. [ACTION]: I try to build a snow cave for shelter.,output: [CHECK]: Survival
"input: [SCENE]: You are trying to identify a strange, pulsating alien egg. [ACTION]: I consult my patron about the nature of this object.",output: [CHECK]: Investigation
"input: [SCENE]: You are trying to identify a strange, pulsating alien egg. [ACTION]: I consult my patron about the nature of this object.",output: [CHECK]: Investigation
input: [SCENE]: You are trying to inspire a group of peasants to defend their own village. [ACTION]: I give a speech about courage and the strength of community.,output: [CHECK]: Performance
input: [SCENE]: You are trying to inspire a group of peasants to defend their own village. [ACTION]: I give a speech about courage and the strength of community.,output: [CHECK]: Performance
input: [SCENE]: You are trying to catch an arrow that has been shot at you. [ACTION]: I attempt to snatch the arrow out of the air.,output: [CHECK]: Dexterity
input: [SCENE]: You are trying to catch an arrow that has been shot at you. [ACTION]: I attempt to snatch the arrow out of the air.,output: [CHECK]: Dexterity
input: [SCENE]: You find a bear caught in a hunter's trap. [ACTION]: I try to calm the bear so I can free it.,output: [CHECK]: Animal Handling
input: [SCENE]: You find a bear caught in a hunter's trap. [ACTION]: I try to calm the bear so I can free it.,output: [CHECK]: Animal Handling
input: [SCENE]: You are trying to disarm a complex magical-mechanical trap. [ACTION]: I study the interaction between the gears and the arcane runes.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to disarm a complex magical-mechanical trap. [ACTION]: I study the interaction between the gears and the arcane runes.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to resist a powerful curse. [ACTION]: I call upon my divine oath to protect me from the dark magic.,output: [CHECK]: Constitution
input: [SCENE]: You are trying to resist a powerful curse. [ACTION]: I call upon my divine oath to protect me from the dark magic.,output: [CHECK]: Constitution
input: [SCENE]: You are trying to lift a key from a sleeping guard's belt. [ACTION]: I attempt to snatch the key without waking him.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are trying to lift a key from a sleeping guard's belt. [ACTION]: I attempt to snatch the key without waking him.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are trying to navigate a ship through a dangerous reef. [ACTION]: I try to steer the ship through the treacherous waters.,output: [CHECK]: Navigator's Tools
input: [SCENE]: You are trying to navigate a ship through a dangerous reef. [ACTION]: I try to steer the ship through the treacherous waters.,output: [CHECK]: Navigator's Tools
input: [SCENE]: You are trying to recall the details of a specific historical treaty. [ACTION]: I search my memory for the relevant information.,output: [CHECK]: History
input: [SCENE]: You are trying to recall the details of a specific historical treaty. [ACTION]: I search my memory for the relevant information.,output: [CHECK]: History
input: [SCENE]: You are trying to bluff in a high-stakes card game. [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand.,output: [CHECK]: Deception
input: [SCENE]: You are trying to bluff in a high-stakes card game. [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand.,output: [CHECK]: Deception
input: [SCENE]: You are trying to determine the alignment of a mysterious stranger. [ACTION]: I try to sense any aura of good or evil about them.,output: [CHECK]: Insight
input: [SCENE]: You are trying to determine the alignment of a mysterious stranger. [ACTION]: I try to sense any aura of good or evil about them.,output: [CHECK]: Insight
"input: [SCENE]: You are trying to find the hidden lair of a beast in a vast forest. [ACTION]: I look for subtle signs of its passage, like claw marks on trees.",output: [CHECK]: Survival
"input: [SCENE]: You are trying to find the hidden lair of a beast in a vast forest. [ACTION]: I look for subtle signs of its passage, like claw marks on trees.",output: [CHECK]: Survival
input: [SCENE]: You are trying to intimidate a city official into giving you a permit. [ACTION]: I subtly hint at the dark powers I command.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to intimidate a city official into giving you a permit. [ACTION]: I subtly hint at the dark powers I command.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to calm your panicked horse during a battle. [ACTION]: I try to soothe the animal and keep it from bolting.,output: [CHECK]: Animal Handling
input: [SCENE]: You are trying to calm your panicked horse during a battle. [ACTION]: I try to calm the animal and keep it from bolting.,output: [CHECK]: Animal Handling
input: [SCENE]: You are trying to listen to a conversation happening in the next room. [ACTION]: I press my ear to the wall and try to hear what they are saying.,output: [CHECK]: Perception
input: [SCENE]: You are trying to listen to a conversation happening in the next room. [ACTION]: I press my ear to the wall and try to hear what they are saying.,output: [CHECK]: Perception
input: [SCENE]: You are trying to predict the weather for the next few days. [ACTION]: I study the cloud patterns and the behavior of the local wildlife.,output: [CHECK]: Nature
input: [SCENE]: You are trying to predict the weather for the next few days. [ACTION]: I study the cloud patterns and the behavior of the local wildlife.,output: [CHECK]: Nature
input: [SCENE]: You are trying to create a chemical that will dissolve stone. [ACTION]: I use my knowledge of alchemy to mix the correct reagents.,output: [CHECK]: Alchemist's Supplies
input: [SCENE]: You are trying to create a chemical that will dissolve stone. [ACTION]: I use my knowledge of alchemy to mix the correct reagents.,output: [CHECK]: Alchemist's Supplies
input: [SCENE]: You are trying to convince a cynical city watch captain to help you. [ACTION]: I appeal to their sense of duty and honor.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to convince a cynical city watch captain to help you. [ACTION]: I appeal to their sense of duty and honor.,output: [CHECK]: Persuasion
"input: [SCENE]: You are in an underwater grotto, and your air supply is running low. [ACTION]: I try to jury-rig a device to filter air from the water.",output: [CHECK]: Tinker's Tools
"input: [SCENE]: You are in an underwater grotto, and your air supply is running low. [ACTION]: I try to jury-rig a device to filter air from the water.",output: [CHECK]: Tinker's Tools
input: [SCENE]: You are in a marketplace where a merchant is selling fake holy relics. [ACTION]: I publicly call out the merchant for their sacrilegious fraud.,output: [CHECK]: Intimidation
input: [SCENE]: You are in a marketplace where a merchant is selling fake holy relics. [ACTION]: I publicly call out the merchant for their sacrilegious fraud.,output: [CHECK]: Intimidation
input: [SCENE]: You are being chased by guards and come to a dead end in an alley. [ACTION]: I try to scale the sheer brick wall to escape to the rooftops.,output: [CHECK]: Athletics
input: [SCENE]: You are being chased by guards and come to a dead end in an alley. [ACTION]: I try to scale the sheer brick wall to escape to the rooftops.,output: [CHECK]: Athletics
"input: [SCENE]: You are trying to cross a frozen river, but the ice is thin in places. [ACTION]: I test the ice carefully before putting my full weight on it.",output: [CHECK]: Survival
"input: [SCENE]: You are trying to cross a frozen river, but the ice is thin in places. [ACTION]: I test the ice carefully before putting my full weight on it.",output: [CHECK]: Survival
"input: [SCENE]: You are trying to convince a council of wizards that your research is not dangerous. [ACTION]: I present my findings in a logical, academic fashion.",output: [CHECK]: Persuasion
"input: [SCENE]: You are trying to convince a council of wizards that your research is not dangerous. [ACTION]: I present my findings in a logical, academic fashion.",output: [CHECK]: Persuasion
input: [SCENE]: You are at a royal feast and are expected to follow complex etiquette. [ACTION]: I try to mimic the dining habits of the other nobles to blend in.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are at a royal feast and are expected to follow complex etiquette. [ACTION]: I try to mimic the dining habits of the other nobles to blend in.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You have been captured by cultists and are tied up. [ACTION]: I test the ropes to find a weak point.,output: [CHECK]: Investigation
input: [SCENE]: You have been captured by cultists and are tied up. [ACTION]: I test the ropes to find a weak point.,output: [CHECK]: Investigation
"input: [SCENE]: You are trying to identify a beast from its strange, otherworldly howl. [ACTION]: I use my knowledge of monstrous creatures to identify the sound.",output: [CHECK]: Nature
"input: [SCENE]: You are trying to identify a beast from its strange, otherworldly howl. [ACTION]: I use my knowledge of monstrous creatures to identify the sound.",output: [CHECK]: Nature
input: [SCENE]: You are trying to read a person's surface thoughts. [ACTION]: I reach out with my mind to probe their consciousness.,output: [CHECK]: Insight
input: [SCENE]: You are trying to read a person's surface thoughts. [ACTION]: I reach out with my mind to probe their consciousness.,output: [CHECK]: Insight
input: [SCENE]: You are trying to jump your horse over a wide chasm. [ACTION]: I urge my steed onward to make the leap.,output: [CHECK]: Animal Handling
input: [SCENE]: You are trying to jump your horse over a wide chasm. [ACTION]: I urge my steed onward to make the leap.,output: [CHECK]: Animal Handling
input: [SCENE]: You are in a crowded street and need to pursue a thief. [ACTION]: I try to weave through the crowd without losing speed.,output: [CHECK]: Acrobatics
input: [SCENE]: You are in a crowded street and need to pursue a thief. [ACTION]: I try to weave through the crowd without losing speed.,output: [CHECK]: Acrobatics
input: [SCENE]: You are trying to find a specific person in a large city. [ACTION]: I transform into a falcon to search from the sky.,output: [CHECK]: Druidic Magic
input: [SCENE]: You are trying to find a specific person in a large city. [ACTION]: I transform into a falcon to search from the sky.,output: [CHECK]: Druidic Magic
input: [SCENE]: You are trying to infuse a weapon with a temporary magical charge. [ACTION]: I try to attach a charged crystal to my crossbow.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to infuse a weapon with a temporary magical charge. [ACTION]: I try to attach a charged crystal to my crossbow.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to break down a door that has been sealed by dark magic. [ACTION]: I attempt to smash the door with my warhammer.,output: [CHECK]: Athletics
input: [SCENE]: You are trying to break down a door that has been sealed by dark magic. [ACTION]: I attempt to smash the door with my warhammer.,output: [CHECK]: Athletics
input: [SCENE]: You are gambling in a seedy tavern and suspect your opponent is cheating. [ACTION]: I watch their hands closely for any sign of cheating.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are gambling in a seedy tavern and suspect your opponent is cheating. [ACTION]: I watch their hands closely for any sign of cheating.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You are hunting in the snowy woods. [ACTION]: I try to set a snare to catch a rabbit.,output: [CHECK]: Survival
input: [SCENE]: You are hunting in the snowy woods. [ACTION]: I try to set a snare to catch a rabbit.,output: [CHECK]: Survival
input: [SCENE]: You are trying to create a magical potion of healing. [ACTION]: I use my knowledge to mix the correct ingredients.,output: [CHECK]: Herbalism Kit
input: [SCENE]: You are trying to create a magical potion of healing. [ACTION]: I use my knowledge to mix the correct ingredients.,output: [CHECK]: Herbalism Kit
input: [SCENE]: You are trying to recall an ancient epic poem. [ACTION]: I try to remember the poem in its entirety.,output: [CHECK]: History
input: [SCENE]: You are trying to recall an ancient epic poem. [ACTION]: I try to remember the poem in its entirety.,output: [CHECK]: History
input: [SCENE]: You are trying to find a secret door in a desecrated temple. [ACTION]: I look for any symbols or architecture that seem out of place.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to find a secret door in a desecrated temple. [ACTION]: I look for any symbols or architecture that seem out of place.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to craft new arrows while camping. [ACTION]: I use my tools to fletch some new arrows.,output: [CHECK]: Woodcarver's Tools
input: [SCENE]: You are trying to craft new arrows while camping. [ACTION]: I use my tools to fletch some new arrows.,output: [CHECK]: Woodcarver's Tools
input: [SCENE]: You are trying to make a deal with an imp. [ACTION]: I try to create a contract that is magically binding.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to make a deal with an imp. [ACTION]: I try to create a contract that is magically binding.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to rally a group of frightened soldiers whose commander has fallen. [ACTION]: I take command and try to lead them to victory.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to rally a group of frightened soldiers whose commander has fallen. [ACTION]: I take command and try to lead them to victory.,output: [CHECK]: Intimidation
input: [SCENE]: You are trying to determine if a river is safe to drink from. [ACTION]: I inspect the water for any signs of contamination.,output: [CHECK]: Medicine
input: [SCENE]: You are trying to determine if a river is safe to drink from. [ACTION]: I inspect the water for any signs of contamination.,output: [CHECK]: Medicine
input: [SCENE]: You are trying to convince a group of loggers to leave a sacred grove. [ACTION]: I try to explain the importance of the grove to the ecosystem.,output: [CHECK]: Nature
input: [SCENE]: You are trying to convince a group of loggers to leave a sacred grove. [ACTION]: I try to explain the importance of the grove to the ecosystem.,output: [CHECK]: Nature
input: [SCENE]: You are trying to identify a strange metal you've never seen before. [ACTION]: I try to determine its properties.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to identify a strange metal you've never seen before. [ACTION]: I try to determine its properties.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to comfort a family that has lost their home. [ACTION]: I offer them my prayers and what little food I have.,output: [CHECK]: Persuasion
input: [SCENE]: You are trying to comfort a family that has lost their home. [ACTION]: I offer them my prayers and what little food I have.,output: [CHECK]: Persuasion
"input: [SCENE]: You are on a slippery, rain-slicked roof. [ACTION]: I try to move across the roof without falling.",output: [CHECK]: Acrobatics
"input: [SCENE]: You are on a slippery, rain-slicked roof. [ACTION]: I try to move across the roof without falling.",output: [CHECK]: Acrobatics
input: [SCENE]: You are trying to understand the customs of a foreign culture. [ACTION]: I try to observe their traditions without causing offense.,output: [CHECK]: Insight
input: [SCENE]: You are trying to understand the customs of a foreign culture. [ACTION]: I try to observe their traditions without causing offense.,output: [CHECK]: Insight
input: [SCENE]: You are trying to control a summoned elemental. [ACTION]: I try to bind it to my will with a powerful spell.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to control a summoned elemental. [ACTION]: I try to bind it to my will with a powerful spell.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to find a specific person in a tavern. [ACTION]: I ask the bartender for information.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to find a specific person in a tavern. [ACTION]: I ask the bartender for information.,output: [CHECK]: Investigation
input: [SCENE]: You are trying to walk through a swamp without attracting the attention of the creatures within. [ACTION]: I try to move quietly through the murky water.,output: [CHECK]: Stealth
input: [SCENE]: You are trying to walk through a swamp without attracting the attention of the creatures within. [ACTION]: I try to move quietly through the murky water.,output: [CHECK]: Stealth
input: [SCENE]: You are trying to find your way back to civilization from deep within the wilderness. [ACTION]: I try to find a river and follow it downstream.,output: [CHECK]: Survival
input: [SCENE]: You are trying to find your way back to civilization from deep within the wilderness. [ACTION]: I try to find a river and follow it downstream.,output: [CHECK]: Survival
input: [SCENE]: You are trying to lie to a demon. [ACTION]: I try to deceive the infernal creature.,output: [CHECK]: Deception
