input: [SCENE]: scene_context,output: [OUTCOME]: outcome_description
input: [SCENE]: You are trying to appraise a gemstone you found.,"output: [OUTCOME]: It's a pretty rock, but you're not an expert. You have no idea if it's a priceless gem or a worthless piece of glass."
input: [SCENE]: You are wrestling a large bear.,"output: [OUTCOME]: You match the bear's brute strength with your own, wrestling it to the ground and holding it pinned until it submits."
input: [SCENE]: You are wrestling a large bear.,output: [OUTCOME]: The bear is a whirlwind of claws and teeth. It easily throws you off and pins you to the ground.
input: [SCENE]: You are trying to activate an ancient magical portal.,"output: [OUTCOME]: The sequence comes to you from a book you read long ago. You press the runes in the correct order, and the portal hums to life."
input: [SCENE]: You are trying to activate an ancient magical portal.,"output: [OUTCOME]: You press the runes in a sequence you think is right, but nothing happens. You've either forgotten the sequence or it was never recorded in any book you've read."
input: [SCENE]: You are in the middle of a tense negotiation between two rival guilds.,output: [OUTCOME]: Your calm demeanor and clever suggestions help both sides see a path to a mutually beneficial agreement. You successfully avert a guild war.
input: [SCENE]: You are in the middle of a tense negotiation between two rival guilds.,"output: [OUTCOME]: Both guilds are too stubborn and hot-headed. They ignore your attempts at diplomacy, and the negotiation breaks down into shouted threats."
input: [SCENE]: You find a person who has been turned to stone.,"output: [OUTCOME]: You notice that the person's eyes still have a faint spark of life in them. This is a powerful curse, but it is not permanent. It can be reversed with the right ritual."
input: [SCENE]: You find a person who has been turned to stone.,output: [OUTCOME]: The petrification is complete. The person is now nothing but a lifeless statue. There is no magic in this world that can bring them back.
"input: [SCENE]: You are trying to follow tracks over hard, rocky ground.","output: [OUTCOME]: You notice a few scuff marks and a single, overturned pebble. It's not much, but it's enough to tell you which way your quarry went."
"input: [SCENE]: You are trying to follow tracks over hard, rocky ground.",output: [OUTCOME]: The creature left no tracks on the hard stone. The trail has gone completely cold.
input: [SCENE]: You are trying to convince a demon to give you its true name.,"output: [OUTCOME]: You engage the demon in a clever war of words, and it accidentally reveals its true name in a moment of arrogance."
input: [SCENE]: You are trying to convince a demon to give you its true name.,output: [OUTCOME]: The demon is an ancient and cunning being. It sees through your attempts at trickery and laughs at your foolishness.
input: [SCENE]: You are giving a speech to rally the castle guards before a siege.,"output: [OUTCOME]: Your words are filled with courage and conviction. The guards are inspired, and they stand ready to defend the castle to the last man."
input: [SCENE]: You are giving a speech to rally the castle guards before a siege.,"output: [OUTCOME]: Your speech is stiff and formal. It fails to stir the hearts of the common soldiers, who just look at you blankly."
input: [SCENE]: You are trying to snatch a pebble from your master's hand.,"output: [OUTCOME]: You feint high and then your hand moves like a striking snake, snatching the pebble before your master can even close his fist."
input: [SCENE]: You are trying to snatch a pebble from your master's hand.,"output: [OUTCOME]: Your master is impossibly fast. He closes his hand long before you can reach the pebble. 'You are not yet ready,' he says calmly."
input: [SCENE]: You are in an area where the magical weave is thin.,"output: [OUTCOME]: You are able to make contact with the spirits. They are weak and frightened, but they tell you of a creature that is draining the magic from the land."
input: [SCENE]: You are in an area where the magical weave is thin.,"output: [OUTCOME]: The magic here is too weak. You try to reach out to the spirits, but you are met with only silence."
input: [SCENE]: You are trying to bluff your way past a city gate.,"output: [OUTCOME]: The guards, not wanting to risk the king's wrath, wave you through the gate without question."
input: [SCENE]: You are trying to bluff your way past a city gate.,output: [OUTCOME]: 'The king?' the guard says with a suspicious look. 'He's visiting the summer palace. You're no messenger. State your real business.'
input: [SCENE]: You are trying to intimidate a group of goblins.,output: [OUTCOME]: The goblins witness your incredible display of strength and decide you are not worth fighting. They flee in terror.
input: [SCENE]: You are trying to intimidate a group of goblins.,"output: [OUTCOME]: You manage to crack the rock, but it's not a very impressive display. The goblins just laugh and ready their weapons."
input: [SCENE]: You are trying to identify a magical creature.,"output: [OUTCOME]: You recognize the creature as a Displacer Beast, a magical feline that can bend light to appear as if it is several feet from its actual location."
input: [SCENE]: You are trying to identify a magical creature.,output: [OUTCOME]: You've never seen or read about a creature like this before. You have no idea what it is or what it can do.
input: [SCENE]: You are trying to haggle with a merchant over the price of a lute.,output: [OUTCOME]: The merchant is so taken with your charming personality and love of music that he agrees to sell you the lute for half price.
input: [SCENE]: You are trying to haggle with a merchant over the price of a lute.,output: [OUTCOME]: The merchant is a shrewd businessman who is immune to your charms. He refuses to budge on the price.
input: [SCENE]: You find a holy text that has been desecrated.,"output: [OUTCOME]: You carefully cleanse the book and perform a ritual of restoration. The unholy symbols fade, and the book is made whole again."
input: [SCENE]: You find a holy text that has been desecrated.,"output: [OUTCOME]: The dark magic used to desecrate the book is too powerful. Your ritual fails, and the unholy symbols remain etched on the pages."
input: [SCENE]: You are trying to see in the dark.,"output: [OUTCOME]: Your eyes adjust to the gloom, and you are able to make out the shapes of the trees and rocks around you."
input: [SCENE]: You are trying to see in the dark.,"output: [OUTCOME]: It is pitch black, and you are effectively blind. You can't see anything at all."
input: [SCENE]: You are trying to control a minor demon you have summoned.,"output: [OUTCOME]: The demon recognizes you as the master of the pact. It snarls, but it obeys your commands."
input: [SCENE]: You are trying to control a minor demon you have summoned.,output: [OUTCOME]: The demon is unruly and defiant. It ignores your commands and attempts to break free from your control.
input: [SCENE]: You are trying to calm a panicked crowd.,"output: [OUTCOME]: Your loud, clear voice cuts through the noise of the panic. The crowd looks to you, and your calm demeanor helps them to get a grip on their fears."
input: [SCENE]: You are trying to calm a panicked crowd.,output: [OUTCOME]: The crowd is too consumed by fear to listen to you. Your words are lost in the chaos.
input: [SCENE]: You are trying to endure a painful ritual.,"output: [OUTCOME]: You focus your mind and are able to dissociate from the pain. You are aware of it, but it does not affect you."
input: [SCENE]: You are trying to endure a painful ritual.,"output: [OUTCOME]: The pain is too intense. It shatters your concentration, and you are unable to block it out."
input: [SCENE]: You are trying to find a specific herb in a dense forest.,"output: [OUTCOME]: You know exactly where to look for the herb, and you find a large patch of it growing in a sun-dappled clearing."
input: [SCENE]: You are trying to find a specific herb in a dense forest.,"output: [OUTCOME]: The herb is very rare, and you are unable to find it in this part of the forest."
input: [SCENE]: You are in a decrepit clock tower. The central mechanism is rusted and jammed.,"output: [OUTCOME]: With a series of precise adjustments and a bit of oil, you get the ancient gears moving again. The tower bell chimes for the first time in a century."
input: [SCENE]: You are in a decrepit clock tower. The central mechanism is rusted and jammed.,"output: [OUTCOME]: You find that a key gear is completely sheared in half. Without a replacement part, which would have to be custom-forged, the clockwork is beyond repair."
input: [SCENE]: You are standing before a horde of advancing zombies.,"output: [OUTCOME]: You present your holy symbol, and it flares with brilliant light. The zombies recoil, their necrotic forms unable to bear your divine power, and several of them are instantly destroyed."
input: [SCENE]: You are standing before a horde of advancing zombies.,"output: [OUTCOME]: You call upon your deity, but the sheer number of undead creates a tide of negative energy that smothers your divine power. The zombies are unaffected and continue their advance."
input: [SCENE]: You are in a secret auction for illicit goods.,output: [OUTCOME]: You notice a woman in the back whose simple clothes can't hide the priceless gemstone on her ring or the expert cut of her robes. She is the real power here.
input: [SCENE]: You are in a secret auction for illicit goods.,output: [OUTCOME]: Everyone here is either dressed to the nines or intentionally dressing down. It's impossible to tell who is truly wealthy and who is just posturing.
"input: [SCENE]: You are fording a rushing, chest-deep river.","output: [OUTCOME]: You plant your feet like boulders, and the river parts around you. You are unmoved by its power and cross to the other side."
"input: [SCENE]: You are fording a rushing, chest-deep river.","output: [OUTCOME]: The current is too strong. It sweeps your feet out from under you, and you are carried downstream, sputtering and struggling to stay afloat."
input: [SCENE]: You have found the spellbook of a rival archmage.,output: [OUTCOME]: Your eyes light up as you find a chapter detailing a powerful teleportation circle variant you've never seen before. A worthy prize.
input: [SCENE]: You have found the spellbook of a rival archmage.,"output: [OUTCOME]: The archmage was powerful, but not particularly creative. The spellbook contains only standard incantations, all of which are already in your own collection."
input: [SCENE]: You are trying to cross a border into a hostile nation.,"output: [OUTCOME]: Your charming demeanor and harmless appearance work perfectly. The guards, bored with their post, wave you through without a second thought."
input: [SCENE]: You are trying to cross a border into a hostile nation.,"output: [OUTCOME]: The captain of the guard is a grim, suspicious man. He sees your fine clothes and quick wit not as harmless, but as the signs of a spy. You are denied entry."
input: [SCENE]: You have found a wounded soldier on a battlefield.,"output: [OUTCOME]: You quickly identify the most severe injury—an arterial bleed—and apply pressure, saving the soldier's life."
input: [SCENE]: You have found a wounded soldier on a battlefield.,"output: [OUTCOME]: The soldier has too many grievous wounds. By the time you stop one bleed, another has become too severe. You are unable to save them."
input: [SCENE]: You are tracking your quarry through a swamp at night.,"output: [OUTCOME]: Filtering out the chirping of insects, you hear it: a heavy, sloshing sound to your left. That's your target."
input: [SCENE]: You are tracking your quarry through a swamp at night.,output: [OUTCOME]: The swamp is a cacophony of nighttime noises. It's impossible to pick out one specific sound from the rest.
input: [SCENE]: You are trying to resist the maddening whispers of a cursed object.,"output: [OUTCOME]: You center yourself, and the whispers fade into meaningless background noise. Your mind is your own."
input: [SCENE]: You are trying to resist the maddening whispers of a cursed object.,output: [OUTCOME]: The whispers are too insidious. They bypass your defenses and plant seeds of paranoia and doubt in your mind.
input: [SCENE]: A peasant accuses a wealthy merchant of stealing his land.,"output: [OUTCOME]: The peasant speaks with the desperation of the wronged, while the merchant's eyes shift nervously when questioned. You are certain the peasant is being truthful."
input: [SCENE]: A peasant accuses a wealthy merchant of stealing his land.,"output: [OUTCOME]: Both are convincing. The peasant seems genuinely distressed, but the merchant has a signed and sealed deed. You cannot tell who is lying."
"input: [SCENE]: You are running along the top of a narrow, crumbling wall.","output: [OUTCOME]: Your movements are precise and controlled. You run along the wall as if it were a wide, paved road."
"input: [SCENE]: You are running along the top of a narrow, crumbling wall.",output: [OUTCOME]: A loose brick gives way under your foot. You stumble and are forced to jump down from the wall to avoid a nasty fall.
"input: [SCENE]: You are in a clearing filled with agitated, buzzing sprites.","output: [OUTCOME]: You speak to them in their own language of tinkling bells. They tell you a large, iron beast (a logging machine) has entered their woods."
"input: [SCENE]: You are in a clearing filled with agitated, buzzing sprites.","output: [OUTCOME]: Your accent in their strange language is clumsy. They either don't understand you or take offense, and they buzz around you angrily before disappearing."
input: [SCENE]: You are facing a construct that is immune to magic.,output: [OUTCOME]: You notice a poorly reinforced servo in its left leg. A well-placed blow there should cripple it.
input: [SCENE]: You are facing a construct that is immune to magic.,"output: [OUTCOME]: The construct is a masterpiece of design. Its armor plating is seamless, and there are no obvious weak points to exploit."
input: [SCENE]: A commoner is dying from a seemingly incurable disease.,"output: [OUTCOME]: You call upon your oath, and a wave of pure, divine energy washes through the commoner, purging the disease from their body. They are miraculously cured."
input: [SCENE]: A commoner is dying from a seemingly incurable disease.,"output: [OUTCOME]: The disease is too powerful, or your faith is not strong enough this day. Your healing energy provides a moment of comfort, but it cannot cure the affliction."
input: [SCENE]: You are trying to escape from a jail cell. The lock is complex.,"output: [OUTCOME]: The lock is intricate, but you are a master of your craft. After a few tense moments, you hear a satisfying 'click' and the door swings open."
input: [SCENE]: You are trying to escape from a jail cell. The lock is complex.,output: [OUTCOME]: This lock is beyond your skill. It was made by dwarves and has too many tumblers. You are unable to open it.
input: [SCENE]: You are arm-wrestling a giant of a man in a tavern.,"output: [OUTCOME]: Your opponent is strong, but you are a force of nature. With a final, mighty push, you slam his hand down on the table, winning the contest."
input: [SCENE]: You are arm-wrestling a giant of a man in a tavern.,"output: [OUTCOME]: You've met your match. The man's grip is like iron, and he slowly, inexorably forces your arm down onto the table. You are defeated."
input: [SCENE]: You find a book written in a cipher.,"output: [OUTCOME]: You recognize the patterns of a substitution cipher. It takes some time, but you are able to decode the message."
input: [SCENE]: You find a book written in a cipher.,"output: [OUTCOME]: The cipher is magically encrypted. Without the keyword, which you do not have, it's impossible to read."
input: [SCENE]: You are trying to get information from a tight-lipped informant.,output: [OUTCOME]: Your friendly and disarming nature puts the informant at ease. They let slip a crucial detail they weren't supposed to.
input: [SCENE]: You are trying to get information from a tight-lipped informant.,output: [OUTCOME]: The informant is a professional. They are immune to your charm and refuse to say a word.
input: [SCENE]: You are in a cursed tomb where shadows seem to move on their own.,"output: [OUTCOME]: Your holy senses allow you to see through the illusion. The moving shadows are not shadows at all, but lesser demons hiding in the gloom."
input: [SCENE]: You are in a cursed tomb where shadows seem to move on their own.,output: [OUTCOME]: The shadows are deeply magical and confusing. You can't tell which are real and which are manifestations of the tomb's curse.
input: [SCENE]: You are lost in a blizzard.,"output: [OUTCOME]: You find a deep snowdrift and are able to quickly dig out a small, insulated cave that will protect you from the worst of the storm."
input: [SCENE]: You are lost in a blizzard.,output: [OUTCOME]: The snow is too powdery and will not hold its shape. You are unable to build a stable shelter and are left exposed to the elements.
"input: [SCENE]: You are trying to identify a strange, pulsating alien egg.","output: [OUTCOME]: A whisper of insight from your patron informs you that this is the egg of a Void Lurker. It is dangerous, but its shell is a potent arcane focus."
"input: [SCENE]: You are trying to identify a strange, pulsating alien egg.","output: [OUTCOME]: Your patron is silent on this matter. You are left alone with the strange, throbbing object, unsure if it is a treasure or a trap."
input: [SCENE]: You are trying to inspire a group of peasants to defend their own village.,"output: [OUTCOME]: Your heartfelt words stir something within the peasants. They find their courage and take up makeshift weapons, ready to defend their homes."
input: [SCENE]: You are trying to inspire a group of peasants to defend their own village.,"output: [OUTCOME]: You are a noble knight, and your words about honor and glory mean little to these simple farmers. They are too afraid to fight."
input: [SCENE]: You are trying to catch an arrow that has been shot at you.,output: [OUTCOME]: Your reflexes are legendary. Your hand snaps out and plucks the arrow from the air an instant before it would have struck you.
input: [SCENE]: You are trying to catch an arrow that has been shot at you.,"output: [OUTCOME]: The arrow is too fast. You try to catch it, but it zips past your fingers, leaving a painful sting."
input: [SCENE]: You find a bear caught in a hunter's trap.,"output: [OUTCOME]: You speak to the bear in soft, soothing tones. It seems to understand you are trying to help, and it lies still while you work on the trap."
input: [SCENE]: You find a bear caught in a hunter's trap.,"output: [OUTCOME]: The bear is in too much pain and is terrified. It sees you as another threat and lashes out, making it impossible to get close to the trap."
input: [SCENE]: You are trying to disarm a complex magical-mechanical trap.,"output: [OUTCOME]: You see the logic of the trap's design. By jamming a single gear, you can disrupt the flow of magic and render the trap inert."
input: [SCENE]: You are trying to disarm a complex magical-mechanical trap.,output: [OUTCOME]: The trap's design is baffling. The magic and the mechanics seem to work in a way that defies the known laws of both. You can't figure out how to disarm it.
input: [SCENE]: You are trying to resist a powerful curse.,"output: [OUTCOME]: Your body is wracked with pain, but your oath makes you a vessel of divine power. You are able to fight off the worst effects of the curse."
input: [SCENE]: You are trying to resist a powerful curse.,"output: [OUTCOME]: The curse is too powerful. It overwhelms your defenses and settles deep into your soul, weakening you."
input: [SCENE]: You are trying to lift a key from a sleeping guard's belt.,"output: [OUTCOME]: Your fingers are deft and light. The key is in your hand, and the guard snores on, oblivious."
input: [SCENE]: You are trying to lift a key from a sleeping guard's belt.,"output: [OUTCOME]: The keys jingle loudly as you touch them. The guard's eyes snap open, and he immediately reaches for his weapon."
input: [SCENE]: You are trying to navigate a ship through a dangerous reef.,"output: [OUTCOME]: You expertly guide the ship through the maze of sharp rocks, your instincts and knowledge of the sea proving invaluable."
input: [SCENE]: You are trying to navigate a ship through a dangerous reef.,"output: [OUTCOME]: You misjudge the current. The ship scrapes against a sharp rock with a horrible grinding sound, tearing a hole in the hull."
input: [SCENE]: You are trying to recall the details of a specific historical treaty.,"output: [OUTCOME]: You recall the Treaty of the Silver Moon, including the specific clause that grants you passage through this territory."
input: [SCENE]: You are trying to recall the details of a specific historical treaty.,"output: [OUTCOME]: You know of the treaty, but the specific details are fuzzy. You can't remember the exact clauses."
input: [SCENE]: You are trying to bluff in a high-stakes card game.,"output: [OUTCOME]: Your bluff is utterly convincing. Your opponents fold one by one, leaving you to collect the massive pot with a worthless hand."
input: [SCENE]: You are trying to bluff in a high-stakes card game.,"output: [OUTCOME]: A flicker of nervousness in your eye gives you away. Your main opponent calls your bluff, and you lose everything."
input: [SCENE]: You are trying to determine the alignment of a mysterious stranger.,"output: [OUTCOME]: As you focus, you can feel a faint but unmistakable aura of malevolence coming from the stranger. They are hiding a dark nature."
input: [SCENE]: You are trying to determine the alignment of a mysterious stranger.,"output: [OUTCOME]: The stranger's soul is a closed book. You cannot sense any particular alignment, leaving you unsure of their intentions."
input: [SCENE]: You are trying to find the hidden lair of a beast in a vast forest.,"output: [OUTCOME]: You find a series of deep gouges on the trees, all leading in the same direction. This is the beast's territory, and you are on the right track."
input: [SCENE]: You are trying to find the hidden lair of a beast in a vast forest.,"output: [OUTCOME]: The forest is immense, and you find no signs of the beast's passage. You are effectively lost, with no trail to follow."
input: [SCENE]: You are trying to intimidate a city official into giving you a permit.,"output: [OUTCOME]: The official doesn't understand your power, but they see the chilling conviction in your eyes and decide it's not worth the risk to deny you. They quickly stamp your permit."
input: [SCENE]: You are trying to intimidate a city official into giving you a permit.,output: [OUTCOME]: The official is a stubborn bureaucrat who is not impressed by vague threats. They dismiss you and call for the next person in line.
input: [SCENE]: You are trying to calm your panicked horse during a battle.,"output: [OUTCOME]: You speak to your horse in a calm, firm voice. The horse, trusting you completely, steadies itself and stands ready for your command."
input: [SCENE]: You are trying to calm your panicked horse during a battle.,"output: [OUTCOME]: The chaos of the battle is too much for the horse. It rears up in terror, throwing you from the saddle, and gallops away from the fighting."
input: [SCENE]: You are trying to listen to a conversation happening in the next room.,"output: [OUTCOME]: The wall is thin, and you are able to make out every word of their secret conversation."
input: [SCENE]: You are trying to listen to a conversation happening in the next room.,"output: [OUTCOME]: The wall is too thick, and their voices are just a muffled murmur. You can't make out any of the words."
input: [SCENE]: You are trying to predict the weather for the next few days.,output: [OUTCOME]: You notice the birds are flying low and the clouds on the horizon are a sure sign of a major storm coming in the next day or so.
input: [SCENE]: You are trying to predict the weather for the next few days.,output: [OUTCOME]: The weather patterns are unusually erratic. You are unable to make a reliable prediction.
input: [SCENE]: You are trying to create a chemical that will dissolve stone.,"output: [OUTCOME]: You carefully mix the volatile chemicals, and the resulting liquid bubbles and hisses. It's a potent acid that should do the trick."
input: [SCENE]: You are trying to create a chemical that will dissolve stone.,"output: [OUTCOME]: You mix the ingredients in the wrong proportions. The mixture gives off a puff of foul-smelling green smoke and then solidifies into a useless, rubbery sludge."
input: [SCENE]: You are trying to convince a cynical city watch captain to help you.,"output: [OUTCOME]: The captain is a cynic, but your unwavering conviction reminds them of why they joined the watch in the first place. They agree to help you."
input: [SCENE]: You are trying to convince a cynical city watch captain to help you.,"output: [OUTCOME]: The captain has seen too much to be moved by words of honor. 'Duty doesn't fill my men's pockets,' they say dismissively. 'I can't help you.'"
"input: [SCENE]: You are in an underwater grotto, and your air supply is running low.","output: [OUTCOME]: You hastily assemble a contraption of tubes and magically-charged crystals. It sputters to life, producing a stream of breathable, albeit foul-tasting, air."
"input: [SCENE]: You are in an underwater grotto, and your air supply is running low.","output: [OUTCOME]: Your hastily built device fails to work. A few bubbles sputter out before it shorts with a fizzle, leaving you with even less time."
input: [SCENE]: You are in a marketplace where a merchant is selling fake holy relics.,"output: [OUTCOME]: Your booming, righteous voice draws a crowd. The merchant, fearing both your wrath and the anger of the onlookers, quickly packs up their stall and flees."
input: [SCENE]: You are in a marketplace where a merchant is selling fake holy relics.,"output: [OUTCOME]: The merchant simply laughs, and the jaded crowd seems unbothered. 'One god is as good as another, paladin,' the merchant sneers. 'Now move along.'"
input: [SCENE]: You are being chased by guards and come to a dead end in an alley.,"output: [OUTCOME]: Your fingers and toes find purchase in the tiny cracks in the brickwork. You scramble up the wall with surprising speed, reaching the roof before the guards arrive."
input: [SCENE]: You are being chased by guards and come to a dead end in an alley.,"output: [OUTCOME]: The wall is too smooth and slick with rain. You can't get a good grip and slide back down, cornered as the guards close in."
"input: [SCENE]: You are trying to cross a frozen river, but the ice is thin in places.","output: [OUTCOME]: You can read the ice like a map, spotting the darker, thinner patches. You pick a safe path across the frozen river."
"input: [SCENE]: You are trying to cross a frozen river, but the ice is thin in places.","output: [OUTCOME]: The ice looks solid, but a loud crack echoes as you take your third step. You are plunged into the freezing water below."
input: [SCENE]: You are trying to convince a council of wizards that your research is not dangerous.,output: [OUTCOME]: Your well-reasoned arguments and meticulously documented research allay their fears. The council grants you permission to continue your work.
input: [SCENE]: You are trying to convince a council of wizards that your research is not dangerous.,"output: [OUTCOME]: Your research touches on forbidden subjects, and the council is too conservative. They are blinded by fear and refuse to listen to your logic, ordering your research to be seized."
input: [SCENE]: You are at a royal feast and are expected to follow complex etiquette.,"output: [OUTCOME]: You subtly watch the others and mirror their actions, using the correct fork and sipping your wine at the appropriate times. You fit in perfectly."
input: [SCENE]: You are at a royal feast and are expected to follow complex etiquette.,"output: [OUTCOME]: You grab the wrong fork, causing a nearby duchess to gasp in horror. Your attempts to blend in have only made you stand out as a commoner."
input: [SCENE]: You have been captured by cultists and are tied up.,"output: [OUTCOME]: You notice the knot is poorly tied. By shifting your weight back and forth, you are able to work it loose enough to slip one hand free."
input: [SCENE]: You have been captured by cultists and are tied up.,output: [OUTCOME]: The ropes are thick and the knots are expertly tied. There are no weak points; you are completely immobilized.
"input: [SCENE]: You are trying to identify a beast from its strange, otherworldly howl.","output: [OUTCOME]: You recognize the howl, though you hoped you'd never hear it. It's the cry of a Worg, a creature of supernatural evil and cunning."
"input: [SCENE]: You are trying to identify a beast from its strange, otherworldly howl.",output: [OUTCOME]: The howl is unlike anything you've ever heard. It's a chilling sound from a creature completely outside your experience.
input: [SCENE]: You are trying to read a person's surface thoughts.,"output: [OUTCOME]: You are able to pick up fleeting images and emotions from the person's mind, giving you a clue as to their true intentions."
input: [SCENE]: You are trying to read a person's surface thoughts.,"output: [OUTCOME]: The person's mind is a fortress. You are met with a wall of mental static, unable to read anything."
input: [SCENE]: You are trying to jump your horse over a wide chasm.,"output: [OUTCOME]: Your horse trusts you completely. It gallops to the edge and leaps, its powerful legs carrying you both safely to the other side."
input: [SCENE]: You are trying to jump your horse over a wide chasm.,"output: [OUTCOME]: The chasm is too wide, and the horse knows it. It skids to a halt at the edge, nearly throwing you into the abyss."
input: [SCENE]: You are in a crowded street and need to pursue a thief.,"output: [OUTCOME]: You move through the crowd like water flowing around rocks, never breaking stride as you keep your eyes locked on the fleeing thief."
input: [SCENE]: You are in a crowded street and need to pursue a thief.,"output: [OUTCOME]: The crowd is too dense. You are constantly blocked and jostled, and you quickly lose sight of the thief in the throng of people."
input: [SCENE]: You are trying to find a specific person in a large city.,"output: [OUTCOME]: You soar high above the city, your keen falcon eyes scanning the streets below. You spot a person matching the description heading towards the docks."
input: [SCENE]: You are trying to find a specific person in a large city.,"output: [OUTCOME]: The city is a sprawling maze of similar-looking buildings and crowded streets. From above, everyone looks like an ant. You can't find them."
input: [SCENE]: You are trying to infuse a weapon with a temporary magical charge.,"output: [OUTCOME]: You expertly wire the crystal into the crossbow's frame. The weapon now hums with magical energy, ready to fire an enchanted bolt."
input: [SCENE]: You are trying to infuse a weapon with a temporary magical charge.,"output: [OUTCOME]: You don't create a proper circuit for the magic. The crystal's energy discharges with a harmless but startling flash, leaving it inert."
input: [SCENE]: You are trying to break down a door that has been sealed by dark magic.,"output: [OUTCOME]: You channel your divine might into the blow. The warhammer smashes through the door and the dark magic sealing it, shattering both."
input: [SCENE]: You are trying to break down a door that has been sealed by dark magic.,"output: [OUTCOME]: The dark magic reinforces the door. Your warhammer bounces off with a dull thud, the dark energy absorbing the force of your blow."
input: [SCENE]: You are gambling in a seedy tavern and suspect your opponent is cheating.,"output: [OUTCOME]: You spot it: a faint, impossibly fast movement as your opponent slips a card from their sleeve. They are definitely cheating."
input: [SCENE]: You are gambling in a seedy tavern and suspect your opponent is cheating.,"output: [OUTCOME]: Your opponent is a master card sharp. Their hands are a blur, and you can't spot any evidence of cheating, even though you feel certain it's happening."
input: [SCENE]: You are hunting in the snowy woods.,output: [OUTCOME]: You create a simple but effective snare. You don't have to wait long before a plump rabbit is caught in your trap.
input: [SCENE]: You are hunting in the snowy woods.,output: [OUTCOME]: Your hands are too large and clumsy for the delicate work. The snare mechanism is poorly made and fails to spring when a rabbit runs past.
input: [SCENE]: You are trying to create a magical potion of healing.,"output: [OUTCOME]: You carefully mix the reagents, and the potion glows with a soft, warm light. It's a perfectly brewed healing potion."
input: [SCENE]: You are trying to create a magical potion of healing.,output: [OUTCOME]: You add a drop too much of silver dust. The potion turns a sickly grey color and becomes completely inert.
input: [SCENE]: You are trying to recall an ancient epic poem.,"output: [OUTCOME]: The epic tale comes to you, and you are able to recite it word for word, impressing the scholars at the Great Library."
input: [SCENE]: You are trying to recall an ancient epic poem.,"output: [OUTCOME]: You can remember the first and last verses, but the long, complex middle section of the poem is a complete blank."
input: [SCENE]: You are trying to find a secret door in a desecrated temple.,"output: [OUTCOME]: You notice that one of the murals depicts a saint pointing at a specific spot on the wall. When you press it, a secret door slides open."
input: [SCENE]: You are trying to find a secret door in a desecrated temple.,output: [OUTCOME]: The temple is a maze of crumbling stone and faded murals. You search for hours but find nothing that suggests a secret passage.
input: [SCENE]: You are trying to craft new arrows while camping.,"output: [OUTCOME]: Your hands are steady and practiced. You are able to craft a dozen straight, well-balanced arrows."
input: [SCENE]: You are trying to craft new arrows while camping.,"output: [OUTCOME]: The wood you've gathered is warped, and you are unable to craft any arrows that would fly true. The work is wasted."
input: [SCENE]: You are trying to make a deal with an imp.,"output: [OUTCOME]: You draft a contract in infernal script, filled with clever clauses and binding magic. The imp signs it, trapped by its own greed."
input: [SCENE]: You are trying to make a deal with an imp.,output: [OUTCOME]: Imps are masters of contracts. It finds a tiny loophole in your wording and is able to twist the terms of the deal in its favor.
input: [SCENE]: You are trying to rally a group of frightened soldiers whose commander has fallen.,"output: [OUTCOME]: Your commanding presence and unwavering courage inspire the soldiers. They rally to you, ready to follow you back into the fray."
input: [SCENE]: You are trying to rally a group of frightened soldiers whose commander has fallen.,"output: [OUTCOME]: The soldiers are broken by the loss of their commander. They are too consumed by fear to listen to you, and they begin to retreat."
input: [SCENE]: You are trying to determine if a river is safe to drink from.,"output: [OUTCOME]: You notice a faint, unnatural shimmer in the water and a lack of any fish or insects. The water is poisoned."
input: [SCENE]: You are trying to determine if a river is safe to drink from.,"output: [OUTCOME]: The water looks clear and cool. You see no signs of contamination, though you can't be 100% certain it's safe without drinking it."
input: [SCENE]: You are trying to convince a group of loggers to leave a sacred grove.,"output: [OUTCOME]: You explain how this grove is a key part of the forest's health. The loggers, who are not evil men, agree to find a different area to work."
input: [SCENE]: You are trying to convince a group of loggers to leave a sacred grove.,output: [OUTCOME]: The loggers only care about their profits. They are not interested in your lecture about the ecosystem and tell you to leave.
input: [SCENE]: You are trying to identify a strange metal you've never seen before.,output: [OUTCOME]: You discover the metal is unusually light but incredibly strong. It also seems to absorb and nullify magical energy.
input: [SCENE]: You are trying to identify a strange metal you've never seen before.,"output: [OUTCOME]: The metal is completely inert. It resists all your attempts to test its properties, leaving you with no information about its nature."
input: [SCENE]: You are trying to comfort a family that has lost their home.,output: [OUTCOME]: The family is moved by your compassion and generosity. Your kindness gives them a glimmer of hope in their darkest hour.
input: [SCENE]: You are trying to comfort a family that has lost their home.,"output: [OUTCOME]: The family is too consumed by grief and despair to be comforted. They appreciate the gesture, but your words and food do little to ease their pain."
"input: [SCENE]: You are on a slippery, rain-slicked roof.","output: [OUTCOME]: You carefully pick your way across the treacherous tiles, your movements sure-footed and precise."
"input: [SCENE]: You are on a slippery, rain-slicked roof.","output: [OUTCOME]: Your foot slips on a wet tile, and you slide down the roof, barely managing to grab onto the gutter at the last second."
input: [SCENE]: You are trying to understand the customs of a foreign culture.,output: [OUTCOME]: You are a quiet and respectful observer. The locals appreciate your efforts to understand their ways and are friendly towards you.
input: [SCENE]: You are trying to understand the customs of a foreign culture.,"output: [OUTCOME]: You accidentally violate a major taboo, causing great offense to your hosts. They now view you with suspicion and hostility."
