input: [CHECK]: check_required[PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a warm, reassuring presence envelop you. Your faith is renewed, and you find the strength to carry on."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: Your prayers feel empty, and you receive no answer. You are left alone with your doubts and fears."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: You create a well-camouflaged pit trap on a path you know the beast uses. It's perfectly placed.
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: Your trap is clumsy. The beast easily spots it and avoids it, now alerted to your presence in its territory."
input: [CHECK]: Insight[PASS/FAIL]: Pass,output: [OUTCOME]: You are able to understand the creature's visual language. It is warning you of a great danger that lies ahead.
input: [CHECK]: Insight[PASS/FAIL]: Fail,output: [OUTCOME]: The images are a chaotic and disturbing jumble of alien thoughts. You can't make any sense of them.
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: You guide your horse perfectly, and your lance strikes your opponent's shield dead center, sending him tumbling from his saddle."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: Your aim is slightly off. Your lance glances off your opponent's shield, and you barely manage to stay on your own horse."
input: [CHECK]: Stealth[PASS/FAIL]: Pass,output: [OUTCOME]: You control your breathing and your steps are impossibly light. You cross the room without a single leaf crunching under your feet.
input: [CHECK]: Stealth[PASS/FAIL]: Fail,"output: [OUTCOME]: Despite your best efforts, a single leaf crunches loudly under your foot, the sound echoing in the silent room."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You draw the poison from the water, and the river begins to run clear again. The nearby plants and animals are saved."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: The pollution is too potent and unnatural. Your magic can't purify it, and the river remains a toxic sludge."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the cut and clarity of the stone. It's a valuable fire opal, worth a small fortune."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: It's a pretty rock, but you're not an expert. You have no idea if it's a priceless gem or a worthless piece of glass."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You match the bear's brute strength with your own, wrestling it to the ground and holding it pinned until it submits."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,output: [OUTCOME]: The bear is a whirlwind of claws and teeth. It easily throws you off and pins you to the ground.
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: The sequence comes to you from a book you read long ago. You press the runes in the correct order, and the portal hums to life."
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: You press the runes in a sequence you think is right, but nothing happens. You've either forgotten the sequence or it was never recorded in any book you've read."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: Your calm demeanor and clever suggestions help both sides see a path to a mutually beneficial agreement. You successfully avert a guild war.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: Both guilds are too stubborn and hot-headed. They ignore your attempts at diplomacy, and the negotiation breaks down into shouted threats."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that the person's eyes still have a faint spark of life in them. This is a powerful curse, but it is not permanent. It can be reversed with the right ritual."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,output: [OUTCOME]: The petrification is complete. The person is now nothing but a lifeless statue. There is no magic in this world that can bring them back.
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice a few scuff marks and a single, overturned pebble. It's not much, but it's enough to tell you which way your quarry went."
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: The creature left no tracks on the hard stone. The trail has gone completely cold.
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: You engage the demon in a clever war of words, and it accidentally reveals its true name in a moment of arrogance."
input: [CHECK]: Deception[PASS/FAIL]: Fail,output: [OUTCOME]: The demon is an ancient and cunning being. It sees through your attempts at trickery and laughs at your foolishness.
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your words are filled with courage and conviction. The guards are inspired, and they stand ready to defend the castle to the last man."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: Your speech is stiff and formal. It fails to stir the hearts of the common soldiers, who just look at you blankly."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: You feint high and then your hand moves like a striking snake, snatching the pebble before your master can even close his fist."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your master is impossibly fast. He closes his hand long before you can reach the pebble. 'You are not yet ready,' he says calmly."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to make contact with the spirits. They are weak and frightened, but they tell you of a creature that is draining the magic from the land."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: The magic here is too weak. You try to reach out to the spirits, but you are met with only silence."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: The guards, not wanting to risk the king's wrath, wave you through the gate without question."
input: [CHECK]: Deception[PASS/FAIL]: Fail,output: [OUTCOME]: 'The king?' the guard says with a suspicious look. 'He's visiting the summer palace. You're no messenger. State your real business.'
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,output: [OUTCOME]: The goblins witness your incredible display of strength and decide you are not worth fighting. They flee in terror.
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: You manage to crack the rock, but it's not a very impressive display. The goblins just laugh and ready their weapons."
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the creature as a Displacer Beast, a magical feline that can bend light to appear as if it is several feet from its actual location."
input: [CHECK]: History[PASS/FAIL]: Fail,output: [OUTCOME]: You've never seen or read about a creature like this before. You have no idea what it is or what it can do.
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: The merchant is so taken with your charming personality and love of music that he agrees to sell you the lute for half price.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,output: [OUTCOME]: The merchant is a shrewd businessman who is immune to your charms. He refuses to budge on the price.
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully cleanse the book and perform a ritual of restoration. The unholy symbols fade, and the book is made whole again."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: The dark magic used to desecrate the book is too powerful. Your ritual fails, and the unholy symbols remain etched on the pages."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your eyes adjust to the gloom, and you are able to make out the shapes of the trees and rocks around you."
input: [CHECK]: Perception[PASS/FAIL]: Fail,"output: [OUTCOME]: It is pitch black, and you are effectively blind. You can't see anything at all."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: The demon recognizes you as the master of the pact. It snarls, but it obeys your commands."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,output: [OUTCOME]: The demon is unruly and defiant. It ignores your commands and attempts to break free from your control.
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: Your loud, clear voice cuts through the noise of the panic. The crowd looks to you, and your calm demeanor helps them to get a grip on their fears."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,output: [OUTCOME]: The crowd is too consumed by fear to listen to you. Your words are lost in the chaos.
input: [CHECK]: Constitution[PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your mind and are able to dissociate from the pain. You are aware of it, but it does not affect you."
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The pain is too intense. It shatters your concentration, and you are unable to block it out."
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You know exactly where to look for the herb, and you find a large patch of it growing in a sun-dappled clearing."
input: [CHECK]: Nature[PASS/FAIL]: Fail,"output: [OUTCOME]: The herb is very rare, and you are unable to find it in this part of the forest."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: With a series of precise adjustments and a bit of oil, you get the ancient gears moving again. The tower bell chimes for the first time in a century."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: You find that a key gear is completely sheared in half. Without a replacement part, which would have to be custom-forged, the clockwork is beyond repair."
input: [CHECK]: Religion[PASS/FAIL]: Pass,"output: [OUTCOME]: You present your holy symbol, and it flares with brilliant light. The zombies recoil, their necrotic forms unable to bear your divine power, and several of them are instantly destroyed."
input: [CHECK]: Religion[PASS/FAIL]: Fail,"output: [OUTCOME]: You call upon your deity, but the sheer number of undead creates a tide of negative energy that smothers your divine power. The zombies are unaffected and continue their advance."
input: [CHECK]: Perception[PASS/FAIL]: Pass,output: [OUTCOME]: You notice a woman in the back whose simple clothes can't hide the priceless gemstone on her ring or the expert cut of her robes. She is the real power here.
input: [CHECK]: Perception[PASS/FAIL]: Fail,output: [OUTCOME]: Everyone here is either dressed to the nines or intentionally dressing down. It's impossible to tell who is truly wealthy and who is just posturing.
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You plant your feet like boulders, and the river parts around you. You are unmoved by its power and cross to the other side."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The current is too strong. It sweeps your feet out from under you, and you are carried downstream, sputtering and struggling to stay afloat."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,output: [OUTCOME]: Your eyes light up as you find a chapter detailing a powerful teleportation circle variant you've never seen before. A worthy prize.
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: The archmage was powerful, but not particularly creative. The spellbook contains only standard incantations, all of which are already in your own collection."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your charming demeanor and harmless appearance work perfectly. The guards, bored with their post, wave you through without a second thought."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: The captain of the guard is a grim, suspicious man. He sees your fine clothes and quick wit not as harmless, but as the signs of a spy. You are denied entry."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You quickly identify the most severe injury—an arterial bleed—and apply pressure, saving the soldier's life."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: The soldier has too many grievous wounds. By the time you stop one bleed, another has become too severe. You are unable to save them."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: Filtering out the chirping of insects, you hear it: a heavy, sloshing sound to your left. That's your target."
input: [CHECK]: Perception[PASS/FAIL]: Fail,output: [OUTCOME]: The swamp is a cacophony of nighttime noises. It's impossible to pick out one specific sound from the rest.
input: [CHECK]: Wisdom[PASS/FAIL]: Pass,"output: [OUTCOME]: You center yourself, and the whispers fade into meaningless background noise. Your mind is your own."
input: [CHECK]: Wisdom[PASS/FAIL]: Fail,output: [OUTCOME]: The whispers are too insidious. They bypass your defenses and plant seeds of paranoia and doubt in your mind.
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: The peasant speaks with the desperation of the wronged, while the merchant's eyes shift nervously when questioned. You are certain the peasant is being truthful."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: Both are convincing. The peasant seems genuinely distressed, but the merchant has a signed and sealed deed. You cannot tell who is lying."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your movements are precise and controlled. You run along the wall as if it were a wide, paved road."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,output: [OUTCOME]: A loose brick gives way under your foot. You stumble and are forced to jump down from the wall to avoid a nasty fall.
input: [CHECK]: Sylvan[PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to them in their own language of tinkling bells. They tell you a large, iron beast (a logging machine) has entered their woods."
input: [CHECK]: Sylvan[PASS/FAIL]: Fail,"output: [OUTCOME]: Your accent in their strange language is clumsy. They either don't understand you or take offense, and they buzz around you angrily before disappearing."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,output: [OUTCOME]: You notice a poorly reinforced servo in its left leg. A well-placed blow there should cripple it.
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: The construct is a masterpiece of design. Its armor plating is seamless, and there are no obvious weak points to exploit."
input: [CHECK]: Medicine[PASS/FAIL]: Pass,"output: [OUTCOME]: You call upon your oath, and a wave of pure, divine energy washes through the commoner, purging the disease from their body. They are miraculously cured."
input: [CHECK]: Medicine[PASS/FAIL]: Fail,"output: [OUTCOME]: The disease is too powerful, or your faith is not strong enough this day. Your healing energy provides a moment of comfort, but it cannot cure the affliction."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: The lock is intricate, but you are a master of your craft. After a few tense moments, you hear a satisfying 'click' and the door swings open."
input: [CHECK]: Thieves' Tools[PASS/FAIL]: Fail,output: [OUTCOME]: This lock is beyond your skill. It was made by dwarves and has too many tumblers. You are unable to open it.
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your opponent is strong, but you are a force of nature. With a final, mighty push, you slam his hand down on the table, winning the contest."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: You've met your match. The man's grip is like iron, and he slowly, inexorably forces your arm down onto the table. You are defeated."
input: [CHECK]: Intelligence[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the patterns of a substitution cipher. It takes some time, but you are able to decode the message."
input: [CHECK]: Intelligence[PASS/FAIL]: Fail,"output: [OUTCOME]: The cipher is magically encrypted. Without the keyword, which you do not have, it's impossible to read."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: Your friendly and disarming nature puts the informant at ease. They let slip a crucial detail they weren't supposed to.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,output: [OUTCOME]: The informant is a professional. They are immune to your charm and refuse to say a word.
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your holy senses allow you to see through the illusion. The moving shadows are not shadows at all, but lesser demons hiding in the gloom."
input: [CHECK]: Perception[PASS/FAIL]: Fail,output: [OUTCOME]: The shadows are deeply magical and confusing. You can't tell which are real and which are manifestations of the tomb's curse.
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a deep snowdrift and are able to quickly dig out a small, insulated cave that will protect you from the worst of the storm."
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: The snow is too powdery and will not hold its shape. You are unable to build a stable shelter and are left exposed to the elements.
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: A whisper of insight from your patron informs you that this is the egg of a Void Lurker. It is dangerous, but its shell is a potent arcane focus."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,"output: [OUTCOME]: Your patron is silent on this matter. You are left alone with the strange, throbbing object, unsure if it is a treasure or a trap."
input: [CHECK]: Performance[PASS/FAIL]: Pass,"output: [OUTCOME]: Your heartfelt words stir something within the peasants. They find their courage and take up makeshift weapons, ready to defend their homes."
input: [CHECK]: Performance[PASS/FAIL]: Fail,"output: [OUTCOME]: You are a noble knight, and your words about honor and glory mean little to these simple farmers. They are too afraid to fight."
input: [CHECK]: Dexterity[PASS/FAIL]: Pass,output: [OUTCOME]: Your reflexes are legendary. Your hand snaps out and plucks the arrow from the air an instant before it would have struck you.
input: [CHECK]: Dexterity[PASS/FAIL]: Fail,"output: [OUTCOME]: The arrow is too fast. You try to catch it, but it zips past your fingers, leaving a painful sting."
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to the bear in soft, soothing tones. It seems to understand you are trying to help, and it lies still while you work on the trap."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: The bear is in too much pain and is terrified. It sees you as another threat and lashes out, making it impossible to get close to the trap."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You see the logic of the trap's design. By jamming a single gear, you can disrupt the flow of magic and render the trap inert."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,output: [OUTCOME]: The trap's design is baffling. The magic and the mechanics seem to work in a way that defies the known laws of both. You can't figure out how to disarm it.
input: [CHECK]: Constitution[PASS/FAIL]: Pass,"output: [OUTCOME]: Your body is wracked with pain, but your oath makes you a vessel of divine power. You are able to fight off the worst effects of the curse."
input: [CHECK]: Constitution[PASS/FAIL]: Fail,"output: [OUTCOME]: The curse is too powerful. It overwhelms your defenses and settles deep into your soul, weakening you."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers are deft and light. The key is in your hand, and the guard snores on, oblivious."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: The keys jingle loudly as you touch them. The guard's eyes snap open, and he immediately reaches for his weapon."
input: [CHECK]: Navigator's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly guide the ship through the maze of sharp rocks, your instincts and knowledge of the sea proving invaluable."
input: [CHECK]: Navigator's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: You misjudge the current. The ship scrapes against a sharp rock with a horrible grinding sound, tearing a hole in the hull."
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: You recall the Treaty of the Silver Moon, including the specific clause that grants you passage through this territory."
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: You know of the treaty, but the specific details are fuzzy. You can't remember the exact clauses."
input: [CHECK]: Deception[PASS/FAIL]: Pass,"output: [OUTCOME]: Your bluff is utterly convincing. Your opponents fold one by one, leaving you to collect the massive pot with a worthless hand."
input: [CHECK]: Deception[PASS/FAIL]: Fail,"output: [OUTCOME]: A flicker of nervousness in your eye gives you away. Your main opponent calls your bluff, and you lose everything."
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: As you focus, you can feel a faint but unmistakable aura of malevolence coming from the stranger. They are hiding a dark nature."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The stranger's soul is a closed book. You cannot sense any particular alignment, leaving you unsure of their intentions."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You find a series of deep gouges on the trees, all leading in the same direction. This is the beast's territory, and you are on the right track."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The forest is immense, and you find no signs of the beast's passage. You are effectively lost, with no trail to follow."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: The official doesn't understand your power, but they see the chilling conviction in your eyes and decide it's not worth the risk to deny you. They quickly stamp your permit."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,output: [OUTCOME]: The official is a stubborn bureaucrat who is not impressed by vague threats. They dismiss you and call for the next person in line.
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to your horse in a calm, firm voice. The horse, trusting you completely, steadies itself and stands ready for your command."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: The chaos of the battle is too much for the horse. It rears up in terror, throwing you from the saddle, and gallops away from the fighting."
input: [CHECK]: Perception[PASS/FAIL]: Pass,"output: [OUTCOME]: The wall is thin, and you are able to make out every word of their secret conversation."
input: [CHECK]: Perception[PASS/FAIL]: Fail,"output: [OUTCOME]: The wall is too thick, and their voices are just a muffled murmur. You can't make out any of the words."
input: [CHECK]: Nature[PASS/FAIL]: Pass,output: [OUTCOME]: You notice the birds are flying low and the clouds on the horizon are a sure sign of a major storm coming in the next day or so.
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: The weather patterns are unusually erratic. You are unable to make a reliable prediction.
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully mix the volatile chemicals, and the resulting liquid bubbles and hisses. It's a potent acid that should do the trick."
input: [CHECK]: Alchemist's Supplies[PASS/FAIL]: Fail,"output: [OUTCOME]: You mix the ingredients in the wrong proportions. The mixture gives off a puff of foul-smelling green smoke and then solidifies into a useless, rubbery sludge."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,"output: [OUTCOME]: The captain is a cynic, but your unwavering conviction reminds them of why they joined the watch in the first place. They agree to help you."
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: The captain has seen too much to be moved by words of honor. 'Duty doesn't fill my men's pockets,' they say dismissively. 'I can't help you.'"
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: You hastily assemble a contraption of tubes and magically-charged crystals. It sputters to life, producing a stream of breathable, albeit foul-tasting, air."
input: [CHECK]: Tinker's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: Your hastily built device fails to work. A few bubbles sputter out before it shorts with a fizzle, leaving you with even less time."
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: Your booming, righteous voice draws a crowd. The merchant, fearing both your wrath and the anger of the onlookers, quickly packs up their stall and flees."
input: [CHECK]: Intimidation[PASS/FAIL]: Fail,"output: [OUTCOME]: The merchant simply laughs, and the jaded crowd seems unbothered. 'One god is as good as another, paladin,' the merchant sneers. 'Now move along.'"
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers and toes find purchase in the tiny cracks in the brickwork. You scramble up the wall with surprising speed, reaching the roof before the guards arrive."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The wall is too smooth and slick with rain. You can't get a good grip and slide back down, cornered as the guards close in."
input: [CHECK]: Survival[PASS/FAIL]: Pass,"output: [OUTCOME]: You can read the ice like a map, spotting the darker, thinner patches. You pick a safe path across the frozen river."
input: [CHECK]: Survival[PASS/FAIL]: Fail,"output: [OUTCOME]: The ice looks solid, but a loud crack echoes as you take your third step. You are plunged into the freezing water below."
input: [CHECK]: Persuasion[PASS/FAIL]: Pass,output: [OUTCOME]: Your well-reasoned arguments and meticulously documented research allay their fears. The council grants you permission to continue your work.
input: [CHECK]: Persuasion[PASS/FAIL]: Fail,"output: [OUTCOME]: Your research touches on forbidden subjects, and the council is too conservative. They are blinded by fear and refuse to listen to your logic, ordering your research to be seized."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: You subtly watch the others and mirror their actions, using the correct fork and sipping your wine at the appropriate times. You fit in perfectly."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: You grab the wrong fork, causing a nearby duchess to gasp in horror. Your attempts to blend in have only made you stand out as a commoner."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the knot is poorly tied. By shifting your weight back and forth, you are able to work it loose enough to slip one hand free."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The ropes are thick and the knots are expertly tied. There are no weak points; you are completely immobilized.
input: [CHECK]: Nature[PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the howl, though you hoped you'd never hear it. It's the cry of a Worg, a creature of supernatural evil and cunning."
input: [CHECK]: Nature[PASS/FAIL]: Fail,output: [OUTCOME]: The howl is unlike anything you've ever heard. It's a chilling sound from a creature completely outside your experience.
input: [CHECK]: Insight[PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to pick up fleeting images and emotions from the person's mind, giving you a clue as to their true intentions."
input: [CHECK]: Insight[PASS/FAIL]: Fail,"output: [OUTCOME]: The person's mind is a fortress. You are met with a wall of mental static, unable to read anything."
input: [CHECK]: Animal Handling[PASS/FAIL]: Pass,"output: [OUTCOME]: Your horse trusts you completely. It gallops to the edge and leaps, its powerful legs carrying you both safely to the other side."
input: [CHECK]: Animal Handling[PASS/FAIL]: Fail,"output: [OUTCOME]: The chasm is too wide, and the horse knows it. It skids to a halt at the edge, nearly throwing you into the abyss."
input: [CHECK]: Acrobatics[PASS/FAIL]: Pass,"output: [OUTCOME]: You move through the crowd like water flowing around rocks, never breaking stride as you keep your eyes locked on the fleeing thief."
input: [CHECK]: Acrobatics[PASS/FAIL]: Fail,"output: [OUTCOME]: The crowd is too dense. You are constantly blocked and jostled, and you quickly lose sight of the thief in the throng of people."
input: [CHECK]: Druidic Magic[PASS/FAIL]: Pass,"output: [OUTCOME]: You soar high above the city, your keen falcon eyes scanning the streets below. You spot a person matching the description heading towards the docks."
input: [CHECK]: Druidic Magic[PASS/FAIL]: Fail,"output: [OUTCOME]: The city is a sprawling maze of similar-looking buildings and crowded streets. From above, everyone looks like an ant. You can't find them."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly wire the crystal into the crossbow's frame. The weapon now hums with magical energy, ready to fire an enchanted bolt."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,"output: [OUTCOME]: You don't create a proper circuit for the magic. The crystal's energy discharges with a harmless but startling flash, leaving it inert."
input: [CHECK]: Athletics[PASS/FAIL]: Pass,"output: [OUTCOME]: You channel your divine might into the blow. The warhammer smashes through the door and the dark magic sealing it, shattering both."
input: [CHECK]: Athletics[PASS/FAIL]: Fail,"output: [OUTCOME]: The dark magic reinforces the door. Your warhammer bounces off with a dull thud, the dark energy absorbing the force of your blow."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Pass,"output: [OUTCOME]: You spot it: a faint, impossibly fast movement as your opponent slips a card from their sleeve. They are definitely cheating."
input: [CHECK]: Sleight of Hand[PASS/FAIL]: Fail,"output: [OUTCOME]: Your opponent is a master card sharp. Their hands are a blur, and you can't spot any evidence of cheating, even though you feel certain it's happening."
input: [CHECK]: Survival[PASS/FAIL]: Pass,output: [OUTCOME]: You create a simple but effective snare. You don't have to wait long before a plump rabbit is caught in your trap.
input: [CHECK]: Survival[PASS/FAIL]: Fail,output: [OUTCOME]: Your hands are too large and clumsy for the delicate work. The snare mechanism is poorly made and fails to spring when a rabbit runs past.
input: [CHECK]: Herbalism Kit[PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully mix the reagents, and the potion glows with a soft, warm light. It's a perfectly brewed healing potion."
input: [CHECK]: Herbalism Kit[PASS/FAIL]: Fail,output: [OUTCOME]: You add a drop too much of silver dust. The potion turns a sickly grey color and becomes completely inert.
input: [CHECK]: History[PASS/FAIL]: Pass,"output: [OUTCOME]: The epic tale comes to you, and you are able to recite it word for word, impressing the scholars at the Great Library."
input: [CHECK]: History[PASS/FAIL]: Fail,"output: [OUTCOME]: You can remember the first and last verses, but the long, complex middle section of the poem is a complete blank."
input: [CHECK]: Investigation[PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that one of the murals depicts a saint pointing at a specific spot on the wall. When you press it, a secret door slides open."
input: [CHECK]: Investigation[PASS/FAIL]: Fail,output: [OUTCOME]: The temple is a maze of crumbling stone and faded murals. You search for hours but find nothing that suggests a secret passage.
input: [CHECK]: Woodcarver's Tools[PASS/FAIL]: Pass,"output: [OUTCOME]: Your hands are steady and practiced. You are able to craft a dozen straight, well-balanced arrows."
input: [CHECK]: Woodcarver's Tools[PASS/FAIL]: Fail,"output: [OUTCOME]: The wood you've gathered is warped, and you are unable to craft any arrows that would fly true. The work is wasted."
input: [CHECK]: Arcana[PASS/FAIL]: Pass,"output: [OUTCOME]: You draft a contract in infernal script, filled with clever clauses and binding magic. The imp signs it, trapped by its own greed."
input: [CHECK]: Arcana[PASS/FAIL]: Fail,output: [OUTCOME]: Imps are masters of contracts. It finds a tiny loophole in your wording and is able to twist the terms of the deal in its favor.
input: [CHECK]: Intimidation[PASS/FAIL]: Pass,"output: [OUTCOME]: Your commanding presence and unwavering courage inspire the soldiers. They rally to you, ready to follow you back into the fray."
