input,output
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to start a rumor in a tavern.', 'I discreetly spread a juicy piece of gossip among the patrons.']","['Deception', 'Pass', 'You expertly plant the rumor, and within the hour, you can hear people whispering about it at every table.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to start a rumor in a tavern.', 'I discreetly spread a juicy piece of gossip among the patrons.']","['Deception', 'Fail', ""Your attempt is too obvious. The person you tell the rumor to realizes what you're doing and calls you out on it.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are in a drinking contest.', 'I attempt to out-drink my opponent.']","['Constitution', 'Pass', 'You down mug after mug of ale, barely feeling the effects. Your opponent turns green and passes out under the table.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are in a drinking contest.', 'I attempt to out-drink my opponent.']","['Constitution', 'Fail', ""The ale is stronger than you're used to. Your head spins, and you are the first to slump over the table in a drunken stupor.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are in a collapsing ruin. A large piece of the ceiling is about to fall on you.', 'I try to dodge out of the way.']","['Acrobatics', 'Pass', 'You dive out of the way just as the massive stone crashes down where you were standing, sending dust and debris everywhere.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are in a collapsing ruin. A large piece of the ceiling is about to fall on you.', 'I try to dodge out of the way.']","['Acrobatics', 'Fail', 'You react a moment too late. The falling debris clips your shoulder, sending a sharp pain through your arm.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to write a song that will impress a noble.', 'I try to compose a masterpiece.']","['Performance', 'Pass', ""Inspiration strikes! You compose a beautiful and moving ballad that brings a tear to the noble's eye.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to write a song that will impress a noble.', 'I try to compose a masterpiece.']","['Performance', 'Fail', ""You are suffering from writer's block. Every melody you try sounds uninspired, and every lyric feels clumsy.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in a moment of despair.', 'I pray for guidance and strength.']","['Religion', 'Pass', 'You feel a warm, reassuring presence envelop you. Your faith is renewed, and you find the strength to carry on.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in a moment of despair.', 'I pray for guidance and strength.']","['Religion', 'Fail', 'Your prayers feel empty, and you receive no answer. You are left alone with your doubts and fears.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to set a trap for a dangerous beast.', ""I use my knowledge of the beast's habits to set a clever trap.""]","['Survival', 'Pass', ""You create a well-camouflaged pit trap on a path you know the beast uses. It's perfectly placed.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to set a trap for a dangerous beast.', ""I use my knowledge of the beast's habits to set a clever trap.""]","['Survival', 'Fail', 'Your trap is clumsy. The beast easily spots it and avoids it, now alerted to your presence in its territory.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to communicate with a creature that speaks only in telepathic images.', 'I try to interpret the images it sends me.']","['Insight', 'Pass', ""You are able to understand the creature's visual language. It is warning you of a great danger that lies ahead.""]"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to communicate with a creature that speaks only in telepathic images.', 'I try to interpret the images it sends me.']","['Insight', 'Fail', ""The images are a chaotic and disturbing jumble of alien thoughts. You can't make any sense of them.""]"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are participating in a jousting tournament.', 'I try to unseat my opponent.']","['Animal Handling', 'Pass', ""You guide your horse perfectly, and your lance strikes your opponent's shield dead center, sending him tumbling from his saddle.""]"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are participating in a jousting tournament.', 'I try to unseat my opponent.']","['Animal Handling', 'Fail', ""Your aim is slightly off. Your lance glances off your opponent's shield, and you barely manage to stay on your own horse.""]"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are trying to walk across a floor covered in brittle, dry leaves without making a sound.', 'I try to move with absolute silence.']","['Stealth', 'Pass', 'You control your breathing and your steps are impossibly light. You cross the room without a single leaf crunching under your feet.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are trying to walk across a floor covered in brittle, dry leaves without making a sound.', 'I try to move with absolute silence.']","['Stealth', 'Fail', 'Despite your best efforts, a single leaf crunches loudly under your foot, the sound echoing in the silent room.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'A river is polluted with alchemical waste.', 'I use my magic to cleanse the water.']","['Nature', 'Pass', 'You draw the poison from the water, and the river begins to run clear again. The nearby plants and animals are saved.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'A river is polluted with alchemical waste.', 'I use my magic to cleanse the water.']","['Nature', 'Fail', ""The pollution is too potent and unnatural. Your magic can't purify it, and the river remains a toxic sludge.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to appraise a gemstone you found.', 'I try to determine its value.']","['Investigation', 'Pass', ""You recognize the cut and clarity of the stone. It's a valuable fire opal, worth a small fortune.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to appraise a gemstone you found.', 'I try to determine its value.']","['Investigation', 'Fail', ""It's a pretty rock, but you're not an expert. You have no idea if it's a priceless gem or a worthless piece of glass.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are wrestling a large bear.', 'I try to grapple it into submission.']","['Athletics', 'Pass', ""You match the bear's brute strength with your own, wrestling it to the ground and holding it pinned until it submits.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are wrestling a large bear.', 'I try to grapple it into submission.']","['Athletics', 'Fail', 'The bear is a whirlwind of claws and teeth. It easily throws you off and pins you to the ground.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are trying to activate an ancient magical portal.', 'I try to remember the correct sequence of runes to activate it.']","['History', 'Pass', 'The sequence comes to you from a book you read long ago. You press the runes in the correct order, and the portal hums to life.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are trying to activate an ancient magical portal.', 'I try to remember the correct sequence of runes to activate it.']","['History', 'Fail', ""You press the runes in a sequence you think is right, but nothing happens. You've either forgotten the sequence or it was never recorded in any book you've read.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are in the middle of a tense negotiation between two rival guilds.', 'I act as a neutral mediator and try to find a compromise.']","['Persuasion', 'Pass', 'Your calm demeanor and clever suggestions help both sides see a path to a mutually beneficial agreement. You successfully avert a guild war.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are in the middle of a tense negotiation between two rival guilds.', 'I act as a neutral mediator and try to find a compromise.']","['Persuasion', 'Fail', 'Both guilds are too stubborn and hot-headed. They ignore your attempts at diplomacy, and the negotiation breaks down into shouted threats.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a person who has been turned to stone.', 'I try to determine if the curse can be reversed.']","['Medicine', 'Pass', ""You notice that the person's eyes still have a faint spark of life in them. This is a powerful curse, but it is not permanent. It can be reversed with the right ritual.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a person who has been turned to stone.', 'I try to determine if the curse can be reversed.']","['Medicine', 'Fail', 'The petrification is complete. The person is now nothing but a lifeless statue. There is no magic in this world that can bring them back.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to follow tracks over hard, rocky ground.', 'I try to find subtle signs of passage.']","['Survival', 'Pass', ""You notice a few scuff marks and a single, overturned pebble. It's not much, but it's enough to tell you which way your quarry went.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to follow tracks over hard, rocky ground.', 'I try to find subtle signs of passage.']","['Survival', 'Fail', 'The creature left no tracks on the hard stone. The trail has gone completely cold.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to convince a demon to give you its true name.', 'I try to trick the demon into revealing its name.']","['Deception', 'Pass', 'You engage the demon in a clever war of words, and it accidentally reveals its true name in a moment of arrogance.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to convince a demon to give you its true name.', 'I try to trick the demon into revealing its name.']","['Deception', 'Fail', 'The demon is an ancient and cunning being. It sees through your attempts at trickery and laughs at your foolishness.']"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are giving a speech to rally the castle guards before a siege.', 'I try to inspire them with a speech about duty and honor.']","['Performance', 'Pass', 'Your words are filled with courage and conviction. The guards are inspired, and they stand ready to defend the castle to the last man.']"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are giving a speech to rally the castle guards before a siege.', 'I try to inspire them with a speech about duty and honor.']","['Performance', 'Fail', 'Your speech is stiff and formal. It fails to stir the hearts of the common soldiers, who just look at you blankly.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', ""You are trying to snatch a pebble from your master's hand."", ""I try to be faster than my master's eye.""]","['Sleight of Hand', 'Pass', 'You feint high and then your hand moves like a striking snake, snatching the pebble before your master can even close his fist.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', ""You are trying to snatch a pebble from your master's hand."", ""I try to be faster than my master's eye.""]","['Sleight of Hand', 'Fail', ""Your master is impossibly fast. He closes his hand long before you can reach the pebble. 'You are not yet ready,' he says calmly.""]"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are in an area where the magical weave is thin.', 'I try to communicate with the local nature spirits.']","['Nature', 'Pass', 'You are able to make contact with the spirits. They are weak and frightened, but they tell you of a creature that is draining the magic from the land.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are in an area where the magical weave is thin.', 'I try to communicate with the local nature spirits.']","['Nature', 'Fail', 'The magic here is too weak. You try to reach out to the spirits, but you are met with only silence.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to bluff your way past a city gate.', 'I claim to be a messenger with an urgent delivery for the king.']","['Deception', 'Pass', ""The guards, not wanting to risk the king's wrath, wave you through the gate without question.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to bluff your way past a city gate.', 'I claim to be a messenger with an urgent delivery for the king.']","['Deception', 'Fail', ""'The king?' the guard says with a suspicious look. 'He's visiting the summer palace. You're no messenger. State your real business.'""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are trying to intimidate a group of goblins.', 'I smash a large rock with my bare hands to show them my strength.']","['Intimidation', 'Pass', 'The goblins witness your incredible display of strength and decide you are not worth fighting. They flee in terror.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are trying to intimidate a group of goblins.', 'I smash a large rock with my bare hands to show them my strength.']","['Intimidation', 'Fail', ""You manage to crack the rock, but it's not a very impressive display. The goblins just laugh and ready their weapons.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are trying to identify a magical creature.', ""I try to recall its description from a bestiary I've read.""]","['History', 'Pass', 'You recognize the creature as a Displacer Beast, a magical feline that can bend light to appear as if it is several feet from its actual location.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are trying to identify a magical creature.', ""I try to recall its description from a bestiary I've read.""]","['History', 'Fail', ""You've never seen or read about a creature like this before. You have no idea what it is or what it can do.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to haggle with a merchant over the price of a lute.', 'I try to charm the merchant into giving me a discount.']","['Persuasion', 'Pass', 'The merchant is so taken with your charming personality and love of music that he agrees to sell you the lute for half price.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to haggle with a merchant over the price of a lute.', 'I try to charm the merchant into giving me a discount.']","['Persuasion', 'Fail', 'The merchant is a shrewd businessman who is immune to your charms. He refuses to budge on the price.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a holy text that has been desecrated.', 'I perform a ritual to restore the text.']","['Religion', 'Pass', 'You carefully cleanse the book and perform a ritual of restoration. The unholy symbols fade, and the book is made whole again.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You find a holy text that has been desecrated.', 'I perform a ritual to restore the text.']","['Religion', 'Fail', 'The dark magic used to desecrate the book is too powerful. Your ritual fails, and the unholy symbols remain etched on the pages.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to see in the dark.', 'I use my keen senses to navigate the darkness.']","['Perception', 'Pass', 'Your eyes adjust to the gloom, and you are able to make out the shapes of the trees and rocks around you.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are trying to see in the dark.', 'I use my keen senses to navigate the darkness.']","['Perception', 'Fail', ""It is pitch black, and you are effectively blind. You can't see anything at all.""]"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to control a minor demon you have summoned.', 'I try to bind it to my will.']","['Intimidation', 'Pass', 'The demon recognizes you as the master of the pact. It snarls, but it obeys your commands.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to control a minor demon you have summoned.', 'I try to bind it to my will.']","['Intimidation', 'Fail', 'The demon is unruly and defiant. It ignores your commands and attempts to break free from your control.']"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are trying to calm a panicked crowd.', 'I try to restore order with my commanding presence.']","['Persuasion', 'Pass', 'Your loud, clear voice cuts through the noise of the panic. The crowd looks to you, and your calm demeanor helps them to get a grip on their fears.']"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'You are trying to calm a panicked crowd.', 'I try to restore order with my commanding presence.']","['Persuasion', 'Fail', 'The crowd is too consumed by fear to listen to you. Your words are lost in the chaos.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are trying to endure a painful ritual.', 'I try to enter a meditative trance to block out the pain.']","['Constitution', 'Pass', 'You focus your mind and are able to dissociate from the pain. You are aware of it, but it does not affect you.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are trying to endure a painful ritual.', 'I try to enter a meditative trance to block out the pain.']","['Constitution', 'Fail', 'The pain is too intense. It shatters your concentration, and you are unable to block it out.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are trying to find a specific herb in a dense forest.', 'I use my knowledge of plants to find it.']","['Nature', 'Pass', 'You know exactly where to look for the herb, and you find a large patch of it growing in a sun-dappled clearing.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are trying to find a specific herb in a dense forest.', 'I use my knowledge of plants to find it.']","['Nature', 'Fail', 'The herb is very rare, and you are unable to find it in this part of the forest.']"
"['111', 'Valeria, a gnomish artificer who sees magic as a science to be perfected and tinkered with.', 'You are in a decrepit clock tower. The central mechanism is rusted and jammed.', 'I try to repair the clockwork mechanism with my tools.']","[""Tinker's Tools"", 'Pass', 'With a series of precise adjustments and a bit of oil, you get the ancient gears moving again. The tower bell chimes for the first time in a century.']"
"['111', 'Valeria, a gnomish artificer who sees magic as a science to be perfected and tinkered with.', 'You are in a decrepit clock tower. The central mechanism is rusted and jammed.', 'I try to repair the clockwork mechanism with my tools.']","[""Tinker's Tools"", 'Fail', 'You find that a key gear is completely sheared in half. Without a replacement part, which would have to be custom-forged, the clockwork is beyond repair.']"
"['112', 'Thane, a dragonborn paladin sworn by a sacred oath to vanquish undeath and protect the innocent.', 'You are standing before a horde of advancing zombies.', 'I channel my divine power to turn the undead.']","['Religion', 'Pass', 'You present your holy symbol, and it flares with brilliant light. The zombies recoil, their necrotic forms unable to bear your divine power, and several of them are instantly destroyed.']"
"['112', 'Thane, a dragonborn paladin sworn by a sacred oath to vanquish undeath and protect the innocent.', 'You are standing before a horde of advancing zombies.', 'I channel my divine power to turn the undead.']","['Religion', 'Fail', 'You call upon your deity, but the sheer number of undead creates a tide of negative energy that smothers your divine power. The zombies are unaffected and continue their advance.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are in a secret auction for illicit goods.', 'I try to spot which of the attendees is the wealthiest.']","['Perception', 'Pass', ""You notice a woman in the back whose simple clothes can't hide the priceless gemstone on her ring or the expert cut of her robes. She is the real power here.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are in a secret auction for illicit goods.', 'I try to spot which of the attendees is the wealthiest.']","['Perception', 'Fail', ""Everyone here is either dressed to the nines or intentionally dressing down. It's impossible to tell who is truly wealthy and who is just posturing.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are fording a rushing, chest-deep river.', 'I try to hold my ground against the strong current.']","['Athletics', 'Pass', 'You plant your feet like boulders, and the river parts around you. You are unmoved by its power and cross to the other side.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are fording a rushing, chest-deep river.', 'I try to hold my ground against the strong current.']","['Athletics', 'Fail', 'The current is too strong. It sweeps your feet out from under you, and you are carried downstream, sputtering and struggling to stay afloat.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You have found the spellbook of a rival archmage.', ""I scan the book for any spells I don't already know.""]","['Arcana', 'Pass', ""Your eyes light up as you find a chapter detailing a powerful teleportation circle variant you've never seen before. A worthy prize.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You have found the spellbook of a rival archmage.', ""I scan the book for any spells I don't already know.""]","['Arcana', 'Fail', 'The archmage was powerful, but not particularly creative. The spellbook contains only standard incantations, all of which are already in your own collection.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to cross a border into a hostile nation.', 'I try to talk my way past the border guards by posing as a simple traveling minstrel.']","['Deception', 'Pass', 'Your charming demeanor and harmless appearance work perfectly. The guards, bored with their post, wave you through without a second thought.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to cross a border into a hostile nation.', 'I try to talk my way past the border guards by posing as a simple traveling minstrel.']","['Deception', 'Fail', 'The captain of the guard is a grim, suspicious man. He sees your fine clothes and quick wit not as harmless, but as the signs of a spy. You are denied entry.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You have found a wounded soldier on a battlefield.', 'I use my knowledge to triage their wounds and stop the bleeding.']","['Medicine', 'Pass', ""You quickly identify the most severe injury—an arterial bleed—and apply pressure, saving the soldier's life.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You have found a wounded soldier on a battlefield.', 'I use my knowledge to triage their wounds and stop the bleeding.']","['Medicine', 'Fail', 'The soldier has too many grievous wounds. By the time you stop one bleed, another has become too severe. You are unable to save them.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are tracking your quarry through a swamp at night.', 'I listen for the sound of its movement in the water.']","['Perception', 'Pass', ""Filtering out the chirping of insects, you hear it: a heavy, sloshing sound to your left. That's your target.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are tracking your quarry through a swamp at night.', 'I listen for the sound of its movement in the water.']","['Perception', 'Fail', ""The swamp is a cacophony of nighttime noises. It's impossible to pick out one specific sound from the rest.""]"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to resist the maddening whispers of a cursed object.', 'I focus my mind and attempt to ignore the whispers.']","['Wisdom', 'Pass', 'You center yourself, and the whispers fade into meaningless background noise. Your mind is your own.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to resist the maddening whispers of a cursed object.', 'I focus my mind and attempt to ignore the whispers.']","['Wisdom', 'Fail', 'The whispers are too insidious. They bypass your defenses and plant seeds of paranoia and doubt in your mind.']"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'A peasant accuses a wealthy merchant of stealing his land.', 'I try to discern which of them is telling the truth.']","['Insight', 'Pass', ""The peasant speaks with the desperation of the wronged, while the merchant's eyes shift nervously when questioned. You are certain the peasant is being truthful.""]"
"['108', 'Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent.', 'A peasant accuses a wealthy merchant of stealing his land.', 'I try to discern which of them is telling the truth.']","['Insight', 'Fail', 'Both are convincing. The peasant seems genuinely distressed, but the merchant has a signed and sealed deed. You cannot tell who is lying.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are running along the top of a narrow, crumbling wall.', 'I maintain my footing on the treacherous surface.']","['Acrobatics', 'Pass', 'Your movements are precise and controlled. You run along the wall as if it were a wide, paved road.']"
"['109', 'Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance.', 'You are running along the top of a narrow, crumbling wall.', 'I try to maintain my footing on the treacherous surface.']","['Acrobatics', 'Fail', 'A loose brick gives way under your foot. You stumble and are forced to jump down from the wall to avoid a nasty fall.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are in a clearing filled with agitated, buzzing sprites.', 'I attempt to speak to them to find out what has them so upset.']","['Sylvan', 'Pass', 'You speak to them in their own language of tinkling bells. They tell you a large, iron beast (a logging machine) has entered their woods.']"
"['110', 'Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures.', 'You are in a clearing filled with agitated, buzzing sprites.', 'I attempt to speak to them to find out what has them so upset.']","['Sylvan', 'Fail', ""Your accent in their strange language is clumsy. They either don't understand you or take offense, and they buzz around you angrily before disappearing.""]"
"['111', 'Valeria, a gnomish artificer who sees magic as a science to be perfected and tinkered with.', 'You are facing a construct that is immune to magic.', 'I try to find a weak point in its mechanical joints.']","['Investigation', 'Pass', 'You notice a poorly reinforced servo in its left leg. A well-placed blow there should cripple it.']"
"['111', 'Valeria, a gnomish artificer who sees magic as a science to be perfected and tinkered with.', 'You are facing a construct that is immune to magic.', 'I try to find a weak point in its mechanical joints.']","['Investigation', 'Fail', 'The construct is a masterpiece of design. Its armor plating is seamless, and there are no obvious weak points to exploit.']"
"['112', 'Thane, a dragonborn paladin sworn by a sacred oath to vanquish undeath and protect the innocent.', 'A commoner is dying from a seemingly incurable disease.', 'I lay my hands on them and channel divine healing energy.']","['Medicine', 'Pass', 'You call upon your oath, and a wave of pure, divine energy washes through the commoner, purging the disease from their body. They are miraculously cured.']"
"['112', 'Thane, a dragonborn paladin sworn by a sacred oath to vanquish undeath and protect the innocent.', 'A commoner is dying from a seemingly incurable disease.', 'I lay my hands on them and channel divine healing energy.']","['Medicine', 'Fail', 'The disease is too powerful, or your faith is not strong enough this day. Your healing energy provides a moment of comfort, but it cannot cure the affliction.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to escape from a jail cell. The lock is complex.', ""I use my thieves' tools to try and open the cell door.""]","[""Thieves' Tools"", 'Pass', ""The lock is intricate, but you are a master of your craft. After a few tense moments, you hear a satisfying 'click' and the door swings open.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are trying to escape from a jail cell. The lock is complex.', ""I use my thieves' tools to try and open the cell door.""]","[""Thieves' Tools"", 'Fail', 'This lock is beyond your skill. It was made by dwarves and has too many tumblers. You are unable to open it.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are arm-wrestling a giant of a man in a tavern.', 'I use my raw, brute strength to overwhelm him.']","['Athletics', 'Pass', 'Your opponent is strong, but you are a force of nature. With a final, mighty push, you slam his hand down on the table, winning the contest.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are arm-wrestling a giant of a man in a tavern.', 'I use my raw, brute strength to overwhelm him.']","['Athletics', 'Fail', ""You've met your match. The man's grip is like iron, and he slowly, inexorably forces your arm down onto the table. You are defeated.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You find a book written in a cipher.', 'I try to decode the message.']","['Intelligence', 'Pass', 'You recognize the patterns of a substitution cipher. It takes some time, but you are able to decode the message.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You find a book written in a cipher.', 'I try to decode the message.']","['Intelligence', 'Fail', ""The cipher is magically encrypted. Without the keyword, which you do not have, it's impossible to read.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to get information from a tight-lipped informant.', 'I try to charm the information out of them.']","['Persuasion', 'Pass', ""Your friendly and disarming nature puts the informant at ease. They let slip a crucial detail they weren't supposed to.""]"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to get information from a tight-lipped informant.', 'I try to charm the information out of them.']","['Persuasion', 'Fail', 'The informant is a professional. They are immune to your charm and refuse to say a word.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in a cursed tomb where shadows seem to move on their own.', 'I try to spot the source of the unnatural shadows.']","['Perception', 'Pass', 'Your holy senses allow you to see through the illusion. The moving shadows are not shadows at all, but lesser demons hiding in the gloom.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in a cursed tomb where shadows seem to move on their own.', 'I try to spot the source of the unnatural shadows.']","['Perception', 'Fail', ""The shadows are deeply magical and confusing. You can't tell which are real and which are manifestations of the tomb's curse.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are lost in a blizzard.', 'I try to build a snow cave for shelter.']","['Survival', 'Pass', 'You find a deep snowdrift and are able to quickly dig out a small, insulated cave that will protect you from the worst of the storm.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are lost in a blizzard.', 'I try to build a snow cave for shelter.']","['Survival', 'Fail', 'The snow is too powdery and will not hold its shape. You are unable to build a stable shelter and are left exposed to the elements.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to identify a strange, pulsating alien egg.', 'I consult my patron about the nature of this object.']","['Investigation', 'Pass', 'A whisper of insight from your patron informs you that this is the egg of a Void Lurker. It is dangerous, but its shell is a potent arcane focus.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars.', 'You are trying to identify a strange, pulsating alien egg.', 'I consult my patron about the nature of this object.']","['Investigation', 'Fail', 'Your patron is silent on this matter. You are left alone with the strange, throbbing object, unsure if it is a treasure or a trap.']"
