input:  [ACTION]: player_input,output: [CHECK]: check_required
input:  [ACTION]: I attempt to out-drink my opponent.,output: [CHECK]: Constitution
input:  [ACTION]: I try to dodge out of the way.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to dodge out of the way.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to compose a masterpiece.,output: [CHECK]: Performance
input:  [ACTION]: I try to compose a masterpiece.,output: [CHECK]: Performance
input:  [ACTION]: I pray for guidance and strength.,output: [CHECK]: Religion
input:  [ACTION]: I pray for guidance and strength.,output: [CHECK]: Religion
input:  [ACTION]: I use my knowledge of the beast's habits to set a clever trap.,output: [CHECK]: Survival
input:  [ACTION]: I use my knowledge of the beast's habits to set a clever trap.,output: [CHECK]: Survival
input:  [ACTION]: I try to interpret the images it sends me.,output: [CHECK]: Insight
input:  [ACTION]: I try to interpret the images it sends me.,output: [CHECK]: Insight
input:  [ACTION]: I try to unseat my opponent.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to unseat my opponent.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to move with absolute silence.,output: [CHECK]: Stealth
input:  [ACTION]: I try to move with absolute silence.,output: [CHECK]: Stealth
input:  [ACTION]: I use my magic to cleanse the water.,output: [CHECK]: Nature
input:  [ACTION]: I use my magic to cleanse the water.,output: [CHECK]: Nature
input:  [ACTION]: I try to determine its value.,output: [CHECK]: Investigation
input:  [ACTION]: I try to determine its value.,output: [CHECK]: Investigation
input:  [ACTION]: I try to grapple it into submission.,output: [CHECK]: Athletics
input:  [ACTION]: I try to grapple it into submission.,output: [CHECK]: Athletics
input:  [ACTION]: I try to remember the correct sequence of runes to activate it.,output: [CHECK]: History
input:  [ACTION]: I try to remember the correct sequence of runes to activate it.,output: [CHECK]: History
input:  [ACTION]: I act as a neutral mediator and try to find a compromise.,output: [CHECK]: Persuasion
input:  [ACTION]: I act as a neutral mediator and try to find a compromise.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to determine if the curse can be reversed.,output: [CHECK]: Medicine
input:  [ACTION]: I try to determine if the curse can be reversed.,output: [CHECK]: Medicine
input:  [ACTION]: I try to find subtle signs of passage.,output: [CHECK]: Survival
input:  [ACTION]: I try to find subtle signs of passage.,output: [CHECK]: Survival
input:  [ACTION]: I try to trick the demon into revealing its name.,output: [CHECK]: Deception
input:  [ACTION]: I try to trick the demon into revealing its name.,output: [CHECK]: Deception
input:  [ACTION]: I try to inspire them with a speech about duty and honor.,output: [CHECK]: Performance
input:  [ACTION]: I try to inspire them with a speech about duty and honor.,output: [CHECK]: Performance
input:  [ACTION]: I try to be faster than my master's eye.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to be faster than my master's eye.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to communicate with the local nature spirits.,output: [CHECK]: Nature
input:  [ACTION]: I try to communicate with the local nature spirits.,output: [CHECK]: Nature
input:  [ACTION]: I claim to be a messenger with an urgent delivery for the king.,output: [CHECK]: Deception
input:  [ACTION]: I claim to be a messenger with an urgent delivery for the king.,output: [CHECK]: Deception
input:  [ACTION]: I smash a large rock with my bare hands to show them my strength.,output: [CHECK]: Intimidation
input:  [ACTION]: I smash a large rock with my bare hands to show them my strength.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to recall its description from a bestiary I've read.,output: [CHECK]: History
input:  [ACTION]: I try to recall its description from a bestiary I've read.,output: [CHECK]: History
input:  [ACTION]: I try to charm the merchant into giving me a discount.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to charm the merchant into giving me a discount.,output: [CHECK]: Persuasion
input:  [ACTION]: I perform a ritual to restore the text.,output: [CHECK]: Religion
input:  [ACTION]: I perform a ritual to restore the text.,output: [CHECK]: Religion
input:  [ACTION]: I use my keen senses to navigate the darkness.,output: [CHECK]: Perception
input:  [ACTION]: I use my keen senses to navigate the darkness.,output: [CHECK]: Perception
input:  [ACTION]: I try to bind it to my will.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to bind it to my will.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to restore order with my commanding presence.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to restore order with my commanding presence.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to enter a meditative trance to block out the pain.,output: [CHECK]: Constitution
input:  [ACTION]: I try to enter a meditative trance to block out the pain.,output: [CHECK]: Constitution
input:  [ACTION]: I use my knowledge of plants to find it.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of plants to find it.,output: [CHECK]: Nature
input:  [ACTION]: I try to repair the clockwork mechanism with my tools.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to repair the clockwork mechanism with my tools.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I channel my divine power to turn the undead.,output: [CHECK]: Religion
input:  [ACTION]: I channel my divine power to turn the undead.,output: [CHECK]: Religion
input:  [ACTION]: I try to spot which of the attendees is the wealthiest.,output: [CHECK]: Perception
input:  [ACTION]: I try to spot which of the attendees is the wealthiest.,output: [CHECK]: Perception
input:  [ACTION]: I try to hold my ground against the strong current.,output: [CHECK]: Athletics
input:  [ACTION]: I try to hold my ground against the strong current.,output: [CHECK]: Athletics
input:  [ACTION]: I scan the book for any spells I don't already know.,output: [CHECK]: Arcana
input:  [ACTION]: I scan the book for any spells I don't already know.,output: [CHECK]: Arcana
input:  [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel.,output: [CHECK]: Deception
input:  [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel.,output: [CHECK]: Deception
input:  [ACTION]: I use my knowledge to triage their wounds and stop the bleeding.,output: [CHECK]: Medicine
input:  [ACTION]: I use my knowledge to triage their wounds and stop the bleeding.,output: [CHECK]: Medicine
input:  [ACTION]: I listen for the sound of its movement in the water.,output: [CHECK]: Perception
input:  [ACTION]: I listen for the sound of its movement in the water.,output: [CHECK]: Perception
input:  [ACTION]: I focus my mind and attempt to ignore the whispers.,output: [CHECK]: Wisdom
input:  [ACTION]: I focus my mind and attempt to ignore the whispers.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to discern which of them is telling the truth.,output: [CHECK]: Insight
input:  [ACTION]: I try to discern which of them is telling the truth.,output: [CHECK]: Insight
input:  [ACTION]: I maintain my footing on the treacherous surface.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to maintain my footing on the treacherous surface.,output: [CHECK]: Acrobatics
input:  [ACTION]: I attempt to speak to them to find out what has them so upset.,output: [CHECK]: Sylvan
input:  [ACTION]: I attempt to speak to them to find out what has them so upset.,output: [CHECK]: Sylvan
input:  [ACTION]: I try to find a weak point in its mechanical joints.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find a weak point in its mechanical joints.,output: [CHECK]: Investigation
input:  [ACTION]: I lay my hands on them and channel divine healing energy.,output: [CHECK]: Medicine
input:  [ACTION]: I lay my hands on them and channel divine healing energy.,output: [CHECK]: Medicine
input:  [ACTION]: I use my thieves' tools to try and open the cell door.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I use my thieves' tools to try and open the cell door.,output: [CHECK]: Thieves' Tools
"input:  [ACTION]: I use my raw, brute strength to overwhelm him.",output: [CHECK]: Athletics
"input:  [ACTION]: I use my raw, brute strength to overwhelm him.",output: [CHECK]: Athletics
input:  [ACTION]: I try to decode the message.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to decode the message.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to charm the information out of them.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to charm the information out of them.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to spot the source of the unnatural shadows.,output: [CHECK]: Perception
input:  [ACTION]: I try to spot the source of the unnatural shadows.,output: [CHECK]: Perception
input:  [ACTION]: I try to build a snow cave for shelter.,output: [CHECK]: Survival
input:  [ACTION]: I try to build a snow cave for shelter.,output: [CHECK]: Survival
input:  [ACTION]: I consult my patron about the nature of this object.,output: [CHECK]: Investigation
input:  [ACTION]: I consult my patron about the nature of this object.,output: [CHECK]: Investigation
input:  [ACTION]: I give a speech about courage and the strength of community.,output: [CHECK]: Performance
input:  [ACTION]: I give a speech about courage and the strength of community.,output: [CHECK]: Performance
input:  [ACTION]: I attempt to snatch the arrow out of the air.,output: [CHECK]: Dexterity
input:  [ACTION]: I attempt to snatch the arrow out of the air.,output: [CHECK]: Dexterity
input:  [ACTION]: I try to calm the bear so I can free it.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to calm the bear so I can free it.,output: [CHECK]: Animal Handling
input:  [ACTION]: I study the interaction between the gears and the arcane runes.,output: [CHECK]: Arcana
input:  [ACTION]: I study the interaction between the gears and the arcane runes.,output: [CHECK]: Arcana
input:  [ACTION]: I call upon my divine oath to protect me from the dark magic.,output: [CHECK]: Constitution
input:  [ACTION]: I call upon my divine oath to protect me from the dark magic.,output: [CHECK]: Constitution
input:  [ACTION]: I attempt to snatch the key without waking him.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I attempt to snatch the key without waking him.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to steer the ship through the treacherous waters.,output: [CHECK]: Navigator's Tools
input:  [ACTION]: I try to steer the ship through the treacherous waters.,output: [CHECK]: Navigator's Tools
input:  [ACTION]: I search my memory for the relevant information.,output: [CHECK]: History
input:  [ACTION]: I search my memory for the relevant information.,output: [CHECK]: History
input:  [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand.,output: [CHECK]: Deception
input:  [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand.,output: [CHECK]: Deception
input:  [ACTION]: I try to sense any aura of good or evil about them.,output: [CHECK]: Insight
input:  [ACTION]: I try to sense any aura of good or evil about them.,output: [CHECK]: Insight
"input:  [ACTION]: I look for subtle signs of its passage, like claw marks on trees.",output: [CHECK]: Survival
"input:  [ACTION]: I look for subtle signs of its passage, like claw marks on trees.",output: [CHECK]: Survival
input:  [ACTION]: I subtly hint at the dark powers I command.,output: [CHECK]: Intimidation
input:  [ACTION]: I subtly hint at the dark powers I command.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to soothe the animal and keep it from bolting.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to calm the animal and keep it from bolting.,output: [CHECK]: Animal Handling
input:  [ACTION]: I press my ear to the wall and try to hear what they are saying.,output: [CHECK]: Perception
input:  [ACTION]: I press my ear to the wall and try to hear what they are saying.,output: [CHECK]: Perception
input:  [ACTION]: I study the cloud patterns and the behavior of the local wildlife.,output: [CHECK]: Nature
input:  [ACTION]: I study the cloud patterns and the behavior of the local wildlife.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of alchemy to mix the correct reagents.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my knowledge of alchemy to mix the correct reagents.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I appeal to their sense of duty and honor.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to their sense of duty and honor.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to jury-rig a device to filter air from the water.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to jury-rig a device to filter air from the water.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I publicly call out the merchant for their sacrilegious fraud.,output: [CHECK]: Intimidation
input:  [ACTION]: I publicly call out the merchant for their sacrilegious fraud.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to scale the sheer brick wall to escape to the rooftops.,output: [CHECK]: Athletics
input:  [ACTION]: I try to scale the sheer brick wall to escape to the rooftops.,output: [CHECK]: Athletics
input:  [ACTION]: I test the ice carefully before putting my full weight on it.,output: [CHECK]: Survival
input:  [ACTION]: I test the ice carefully before putting my full weight on it.,output: [CHECK]: Survival
"input:  [ACTION]: I present my findings in a logical, academic fashion.",output: [CHECK]: Persuasion
"input:  [ACTION]: I present my findings in a logical, academic fashion.",output: [CHECK]: Persuasion
input:  [ACTION]: I try to mimic the dining habits of the other nobles to blend in.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to mimic the dining habits of the other nobles to blend in.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I test the ropes to find a weak point.,output: [CHECK]: Investigation
input:  [ACTION]: I test the ropes to find a weak point.,output: [CHECK]: Investigation
input:  [ACTION]: I use my knowledge of monstrous creatures to identify the sound.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of monstrous creatures to identify the sound.,output: [CHECK]: Nature
input:  [ACTION]: I reach out with my mind to probe their consciousness.,output: [CHECK]: Insight
input:  [ACTION]: I reach out with my mind to probe their consciousness.,output: [CHECK]: Insight
input:  [ACTION]: I urge my steed onward to make the leap.,output: [CHECK]: Animal Handling
input:  [ACTION]: I urge my steed onward to make the leap.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to weave through the crowd without losing speed.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to weave through the crowd without losing speed.,output: [CHECK]: Acrobatics
input:  [ACTION]: I transform into a falcon to search from the sky.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I transform into a falcon to search from the sky.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I try to attach a charged crystal to my crossbow.,output: [CHECK]: Arcana
input:  [ACTION]: I try to attach a charged crystal to my crossbow.,output: [CHECK]: Arcana
input:  [ACTION]: I attempt to smash the door with my warhammer.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to smash the door with my warhammer.,output: [CHECK]: Athletics
input:  [ACTION]: I watch their hands closely for any sign of cheating.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I watch their hands closely for any sign of cheating.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to set a snare to catch a rabbit.,output: [CHECK]: Survival
input:  [ACTION]: I try to set a snare to catch a rabbit.,output: [CHECK]: Survival
input:  [ACTION]: I use my knowledge to mix the correct ingredients.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I use my knowledge to mix the correct ingredients.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I try to remember the poem in its entirety.,output: [CHECK]: History
input:  [ACTION]: I try to remember the poem in its entirety.,output: [CHECK]: History
input:  [ACTION]: I look for any symbols or architecture that seem out of place.,output: [CHECK]: Investigation
input:  [ACTION]: I look for any symbols or architecture that seem out of place.,output: [CHECK]: Investigation
input:  [ACTION]: I use my tools to fletch some new arrows.,output: [CHECK]: Woodcarver's Tools
input:  [ACTION]: I use my tools to fletch some new arrows.,output: [CHECK]: Woodcarver's Tools
input:  [ACTION]: I try to create a contract that is magically binding.,output: [CHECK]: Arcana
input:  [ACTION]: I try to create a contract that is magically binding.,output: [CHECK]: Arcana
input:  [ACTION]: I take command and try to lead them to victory.,output: [CHECK]: Intimidation
input:  [ACTION]: I take command and try to lead them to victory.,output: [CHECK]: Intimidation
input:  [ACTION]: I inspect the water for any signs of contamination.,output: [CHECK]: Medicine
input:  [ACTION]: I inspect the water for any signs of contamination.,output: [CHECK]: Medicine
input:  [ACTION]: I try to explain the importance of the grove to the ecosystem.,output: [CHECK]: Nature
input:  [ACTION]: I try to explain the importance of the grove to the ecosystem.,output: [CHECK]: Nature
input:  [ACTION]: I try to determine its properties.,output: [CHECK]: Investigation
input:  [ACTION]: I try to determine its properties.,output: [CHECK]: Investigation
input:  [ACTION]: I offer them my prayers and what little food I have.,output: [CHECK]: Persuasion
input:  [ACTION]: I offer them my prayers and what little food I have.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to move across the roof without falling.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to move across the roof without falling.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to observe their traditions without causing offense.,output: [CHECK]: Insight
input:  [ACTION]: I try to observe their traditions without causing offense.,output: [CHECK]: Insight
input:  [ACTION]: I try to bind it to my will with a powerful spell.,output: [CHECK]: Arcana
input:  [ACTION]: I try to bind it to my will with a powerful spell.,output: [CHECK]: Arcana
input:  [ACTION]: I ask the bartender for information.,output: [CHECK]: Investigation
input:  [ACTION]: I ask the bartender for information.,output: [CHECK]: Investigation
input:  [ACTION]: I try to move quietly through the murky water.,output: [CHECK]: Stealth
input:  [ACTION]: I try to move quietly through the murky water.,output: [CHECK]: Stealth
input:  [ACTION]: I try to find a river and follow it downstream.,output: [CHECK]: Survival
input:  [ACTION]: I try to find a river and follow it downstream.,output: [CHECK]: Survival
input:  [ACTION]: I try to deceive the infernal creature.,output: [CHECK]: Deception
input:  [ACTION]: I try to deceive the infernal creature.,output: [CHECK]: Deception
input:  [ACTION]: I look for any signs of magical compulsion.,output: [CHECK]: Insight
input:  [ACTION]: I look for any signs of magical compulsion.,output: [CHECK]: Insight
input:  [ACTION]: I try to control my breathing and conserve oxygen.,output: [CHECK]: Constitution
input:  [ACTION]: I try to control my breathing and conserve oxygen.,output: [CHECK]: Constitution
input:  [ACTION]: I use my knowledge of herbs to create a remedy.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I use my knowledge of herbs to create a remedy.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I use my skills to build the device.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I use my skills to build the device.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I explain that my divine power can help cure the plague within.,output: [CHECK]: Persuasion
input:  [ACTION]: I explain that my divine power can help cure the plague within.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to use my innate storm magic to calm the hurricane.,output: [CHECK]: Arcana
input:  [ACTION]: I try to use my innate storm magic to calm the hurricane.,output: [CHECK]: Arcana
input:  [ACTION]: I try to dodge his surprise attack and flow into a defensive stance.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to dodge his surprise attack and flow into a defensive stance.,output: [CHECK]: Acrobatics
input:  [ACTION]: I use my alchemist's supplies to mix the reagents.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I use my alchemist's supplies to mix the reagents.,output: [CHECK]: Alchemist's Supplies
input:  [ACTION]: I appeal to their sense of justice and compassion.,output: [CHECK]: Persuasion
input:  [ACTION]: I appeal to their sense of justice and compassion.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to subtly spook the lead horse as it rounds the final turn.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to subtly spook the lead horse as it rounds the final turn.,output: [CHECK]: Animal Handling
input:  [ACTION]: I heave the massive log with all my barbarian rage.,output: [CHECK]: Athletics
input:  [ACTION]: I heave the massive log with all my barbarian rage.,output: [CHECK]: Athletics
input:  [ACTION]: I try to piece together the fragments to read the inscription.,output: [CHECK]: Investigation
input:  [ACTION]: I try to piece together the fragments to read the inscription.,output: [CHECK]: Investigation
input:  [ACTION]: I watch the dancers and try to mimic their steps.,output: [CHECK]: Performance
input:  [ACTION]: I watch the dancers and try to mimic their steps.,output: [CHECK]: Performance
input:  [ACTION]: I pray for divine insight into the nature of the affliction.,output: [CHECK]: Medicine
input:  [ACTION]: I pray for divine insight into the nature of the affliction.,output: [CHECK]: Medicine
input:  [ACTION]: I throw the grappling hook to secure a rope on the other side.,output: [CHECK]: Acrobatics
input:  [ACTION]: I throw the grappling hook to secure a rope on the other side.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to mask my dark thoughts and appear righteous.,output: [CHECK]: Deception
input:  [ACTION]: I try to mask my dark thoughts and appear righteous.,output: [CHECK]: Deception
"input:  [ACTION]: I look for signs of their passage, like scared onlookers or a discarded weapon.",output: [CHECK]: Insight
"input:  [ACTION]: I look for signs of their passage, like scared onlookers or a discarded weapon.",output: [CHECK]: Insight
"input:  [ACTION]: I try to create a tiny, controlled spark of flame.",output: [CHECK]: Sleight of Hand
"input:  [ACTION]: I try to create a tiny, controlled spark of flame.",output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use my ki to propel myself up the vertical surface.,output: [CHECK]: Athletics
input:  [ACTION]: I use my ki to propel myself up the vertical surface.,output: [CHECK]: Athletics
input:  [ACTION]: I use my knowledge of arcane mechanics to deduce its function.,output: [CHECK]: Arcana
input:  [ACTION]: I use my knowledge of arcane mechanics to deduce its function.,output: [CHECK]: Arcana
input:  [ACTION]: I search my memory for the correct passage from my holy text.,output: [CHECK]: Religion
input:  [ACTION]: I search my memory for the correct passage from my holy text.,output: [CHECK]: Religion
input:  [ACTION]: I 'accidentally' topple a tall stack of books.,output: [CHECK]: Stealth
input:  [ACTION]: I 'accidentally' topple a tall stack of books.,output: [CHECK]: Stealth
input:  [ACTION]: I use my strength to push through the thorns.,output: [CHECK]: Constitution
input:  [ACTION]: I use my strength to push through the thorns.,output: [CHECK]: Constitution
input:  [ACTION]: I use my historical knowledge to date the artifact based on its markings.,output: [CHECK]: History
input:  [ACTION]: I use my historical knowledge to date the artifact based on its markings.,output: [CHECK]: History
input:  [ACTION]: I try to answer its riddle.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to answer its riddle.,output: [CHECK]: Intelligence
input:  [ACTION]: I try to sense any source of desecration or unholy power.,output: [CHECK]: Investigation
input:  [ACTION]: I try to sense any source of desecration or unholy power.,output: [CHECK]: Investigation
input:  [ACTION]: I try to blend in with the leaves and branches.,output: [CHECK]: Stealth
input:  [ACTION]: I try to blend in with the leaves and branches.,output: [CHECK]: Stealth
input:  [ACTION]: I try to offer a fragment of a memory instead of a piece of my soul.,output: [CHECK]: Deception
input:  [ACTION]: I try to offer a fragment of a memory instead of a piece of my soul.,output: [CHECK]: Deception
input:  [ACTION]: I try to knock the sword from their hand with a precise strike.,output: [CHECK]: Athletics
input:  [ACTION]: I try to knock the sword from their hand with a precise strike.,output: [CHECK]: Athletics
input:  [ACTION]: I try to gently shape the air into a harmless vortex.,output: [CHECK]: Performance
input:  [ACTION]: I try to gently shape the air into a harmless vortex.,output: [CHECK]: Performance
input:  [ACTION]: I examine the tea for any abnormalities.,output: [CHECK]: Perception
input:  [ACTION]: I examine the tea for any abnormalities.,output: [CHECK]: Perception
input:  [ACTION]: I try to craft a masterwork set of lockpicks.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to craft a masterwork set of lockpicks.,output: [CHECK]: Tinker's Tools
input:  [ACTION]: I try to convince them to surrender their information by offering them mercy.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to convince them to surrender their information by offering them mercy.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to decipher the message using my knowledge of thieves' cant.,output: [CHECK]: Investigation
input:  [ACTION]: I try to decipher the message using my knowledge of thieves' cant.,output: [CHECK]: Investigation
input:  [ACTION]: I set a trap using a heavy log and a tripwire.,output: [CHECK]: Survival
input:  [ACTION]: I set a trap using a heavy log and a tripwire.,output: [CHECK]: Survival
input:  [ACTION]: I use my magical knowledge to try and activate the item.,output: [CHECK]: Arcana
input:  [ACTION]: I use my magical knowledge to try and activate the item.,output: [CHECK]: Arcana
input:  [ACTION]: I try to charm the noble's seneschal into arranging a meeting.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to charm the noble's seneschal into arranging a meeting.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to determine if the crops are blighted by dark magic.,output: [CHECK]: Nature
input:  [ACTION]: I try to determine if the crops are blighted by dark magic.,output: [CHECK]: Nature
input:  [ACTION]: I use my knowledge of herbs to create the poultice.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I use my knowledge of herbs to create the poultice.,output: [CHECK]: Herbalism Kit
input:  [ACTION]: I try to find the hidden meaning in the prophetic verse.,output: [CHECK]: History
input:  [ACTION]: I try to find the hidden meaning in the prophetic verse.,output: [CHECK]: History
input:  [ACTION]: I try to push my horse to its limits without exhausting it.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to push my horse to its limits without exhausting it.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to use my natural charisma to sell the lie.,output: [CHECK]: Deception
input:  [ACTION]: I try to use my natural charisma to sell the lie.,output: [CHECK]: Deception
input:  [ACTION]: I try to move through the room without getting hit.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to move through the room without getting hit.,output: [CHECK]: Acrobatics
input:  [ACTION]: I use my knowledge of alchemy to brew the potion.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I use my knowledge of alchemy to brew the potion.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I look for the signs of demonic possession.,output: [CHECK]: Insight
input:  [ACTION]: I look for the signs of demonic possession.,output: [CHECK]: Insight
"input:  [ACTION]: I try to create a small, slick patch of ice on the ground in the thief's path.",output: [CHECK]: Arcana
"input:  [ACTION]: I try to create a small, slick patch of ice on the ground in the thief's path.",output: [CHECK]: Arcana
input:  [ACTION]: I enter a meditative state to ignore the cold and the dizzying height.,output: [CHECK]: Constitution
input:  [ACTION]: I enter a meditative state to ignore the cold and the dizzying height.,output: [CHECK]: Constitution
"input:  [ACTION]: I demonstrate my clockwork songbird, which mimics real birdsong.",output: [CHECK]: Performance
"input:  [ACTION]: I demonstrate my clockwork songbird, which mimics real birdsong.",output: [CHECK]: Performance
input:  [ACTION]: I attempt to cleanse the sword with my divine power.,output: [CHECK]: Religion
input:  [ACTION]: I attempt to cleanse the sword with my divine power.,output: [CHECK]: Religion
input:  [ACTION]: I try to read their lips from across the room.,output: [CHECK]: Perception
input:  [ACTION]: I try to read their lips from across the room.,output: [CHECK]: Perception
input:  [ACTION]: I try to find the book by looking for one with a leather cover and a bear on it.,output: [CHECK]: Investigation
input:  [ACTION]: I try to find the book by looking for one with a leather cover and a bear on it.,output: [CHECK]: Investigation
input:  [ACTION]: I use my cartographer's tools to check for inconsistencies.,output: [CHECK]: Cartographer's Tools
input:  [ACTION]: I use my cartographer's tools to check for inconsistencies.,output: [CHECK]: Cartographer's Tools
input:  [ACTION]: I perform a series of silly juggling tricks.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I perform a series of silly juggling tricks.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to find the 'patient zero' to understand how the plague started.,output: [CHECK]: Medicine
input:  [ACTION]: I try to find the 'patient zero' to understand how the plague started.,output: [CHECK]: Medicine
input:  [ACTION]: I use my poisoner's kit to harvest venom from a giant spider.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I use my poisoner's kit to harvest venom from a giant spider.,output: [CHECK]: Poisoner's Kit
input:  [ACTION]: I ask my patron for knowledge of the stars.,output: [CHECK]: History
input:  [ACTION]: I ask my patron for knowledge of the stars.,output: [CHECK]: History
input:  [ACTION]: I throw my shoulder into the pillar to topple it.,output: [CHECK]: Athletics
input:  [ACTION]: I throw my shoulder into the pillar to topple it.,output: [CHECK]: Athletics
input:  [ACTION]: I try to demonstrate my power with a controlled display of elemental fury.,output: [CHECK]: Intimidation
input:  [ACTION]: I try to demonstrate my power with a controlled display of elemental fury.,output: [CHECK]: Intimidation
"input:  [ACTION]: I try to maintain my focus through the long, dark night.",output: [CHECK]: Constitution
"input:  [ACTION]: I try to maintain my focus through the long, dark night.",output: [CHECK]: Constitution
input:  [ACTION]: I use my knowledge of stonemasonry to find the weakest spot.,output: [CHECK]: Stonemasonry Tools
input:  [ACTION]: I use my knowledge of stonemasonry to find the weakest spot.,output: [CHECK]: Stonemasonry Tools
input:  [ACTION]: I try to convince the ghost that I can help put it to rest if it helps me.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to convince the ghost that I can help put it to rest if it helps me.,output: [CHECK]: Persuasion
input:  [ACTION]: I pour a small amount of water on the floor to see if it runs into any hidden seams.,output: [CHECK]: Investigation
input:  [ACTION]: I pour a small amount of water on the floor to see if it runs into any hidden seams.,output: [CHECK]: Investigation
"input:  [ACTION]: I stare it down, showing no fear.",output: [CHECK]: Animal Handling
"input:  [ACTION]: I stare it down, showing no fear.",output: [CHECK]: Animal Handling
input:  [ACTION]: I use my steady hand to copy the rune.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I use my steady hand to copy the rune.,output: [CHECK]: Sleight of Hand
