input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I try to charm the merchant into giving me a discount. [CHECK]: Persuasion [PASS/FAIL]: Fail,output: [OUTCOME]: The merchant is a shrewd businessman who is immune to your charms. He refuses to budge on the price.
input:  [ACTION]: I perform a ritual to restore the text. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully cleanse the book and perform a ritual of restoration. The unholy symbols fade, and the book is made whole again."
input:  [ACTION]: I perform a ritual to restore the text. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: The dark magic used to desecrate the book is too powerful. Your ritual fails, and the unholy symbols remain etched on the pages."
input:  [ACTION]: I use my keen senses to navigate the darkness. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your eyes adjust to the gloom, and you are able to make out the shapes of the trees and rocks around you."
input:  [ACTION]: I use my keen senses to navigate the darkness. [CHECK]: Perception [PASS/FAIL]: Fail,"output: [OUTCOME]: It is pitch black, and you are effectively blind. You can't see anything at all."
input:  [ACTION]: I try to bind it to my will. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: The demon recognizes you as the master of the pact. It snarls, but it obeys your commands."
input:  [ACTION]: I try to bind it to my will. [CHECK]: Intimidation [PASS/FAIL]: Fail,output: [OUTCOME]: The demon is unruly and defiant. It ignores your commands and attempts to break free from your control.
input:  [ACTION]: I try to restore order with my commanding presence. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: Your loud, clear voice cuts through the noise of the panic. The crowd looks to you, and your calm demeanor helps them to get a grip on their fears."
input:  [ACTION]: I try to restore order with my commanding presence. [CHECK]: Persuasion [PASS/FAIL]: Fail,output: [OUTCOME]: The crowd is too consumed by fear to listen to you. Your words are lost in the chaos.
input:  [ACTION]: I try to enter a meditative trance to block out the pain. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your mind and are able to dissociate from the pain. You are aware of it, but it does not affect you."
input:  [ACTION]: I try to enter a meditative trance to block out the pain. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The pain is too intense. It shatters your concentration, and you are unable to block it out."
input:  [ACTION]: I use my knowledge of plants to find it. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You know exactly where to look for the herb, and you find a large patch of it growing in a sun-dappled clearing."
input:  [ACTION]: I use my knowledge of plants to find it. [CHECK]: Nature [PASS/FAIL]: Fail,"output: [OUTCOME]: The herb is very rare, and you are unable to find it in this part of the forest."
input:  [ACTION]: I try to repair the clockwork mechanism with my tools. [CHECK]: Tinker's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: With a series of precise adjustments and a bit of oil, you get the ancient gears moving again. The tower bell chimes for the first time in a century."
input:  [ACTION]: I try to repair the clockwork mechanism with my tools. [CHECK]: Tinker's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: You find that a key gear is completely sheared in half. Without a replacement part, which would have to be custom-forged, the clockwork is beyond repair."
input:  [ACTION]: I channel my divine power to turn the undead. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You present your holy symbol, and it flares with brilliant light. The zombies recoil, their necrotic forms unable to bear your divine power, and several of them are instantly destroyed."
input:  [ACTION]: I channel my divine power to turn the undead. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: You call upon your deity, but the sheer number of undead creates a tide of negative energy that smothers your divine power. The zombies are unaffected and continue their advance."
input:  [ACTION]: I try to spot which of the attendees is the wealthiest. [CHECK]: Perception [PASS/FAIL]: Pass,output: [OUTCOME]: You notice a woman in the back whose simple clothes can't hide the priceless gemstone on her ring or the expert cut of her robes. She is the real power here.
input:  [ACTION]: I try to spot which of the attendees is the wealthiest. [CHECK]: Perception [PASS/FAIL]: Fail,output: [OUTCOME]: Everyone here is either dressed to the nines or intentionally dressing down. It's impossible to tell who is truly wealthy and who is just posturing.
input:  [ACTION]: I try to hold my ground against the strong current. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You plant your feet like boulders, and the river parts around you. You are unmoved by its power and cross to the other side."
input:  [ACTION]: I try to hold my ground against the strong current. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The current is too strong. It sweeps your feet out from under you, and you are carried downstream, sputtering and struggling to stay afloat."
input:  [ACTION]: I scan the book for any spells I don't already know. [CHECK]: Arcana [PASS/FAIL]: Pass,output: [OUTCOME]: Your eyes light up as you find a chapter detailing a powerful teleportation circle variant you've never seen before. A worthy prize.
input:  [ACTION]: I scan the book for any spells I don't already know. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The archmage was powerful, but not particularly creative. The spellbook contains only standard incantations, all of which are already in your own collection."
input:  [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your charming demeanor and harmless appearance work perfectly. The guards, bored with their post, wave you through without a second thought."
input:  [ACTION]: I try to talk my way past the border guards by posing as a simple traveling minstrel. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: The captain of the guard is a grim, suspicious man. He sees your fine clothes and quick wit not as harmless, but as the signs of a spy. You are denied entry."
input:  [ACTION]: I use my knowledge to triage their wounds and stop the bleeding. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You quickly identify the most severe injury—an arterial bleed—and apply pressure, saving the soldier's life."
input:  [ACTION]: I use my knowledge to triage their wounds and stop the bleeding. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: The soldier has too many grievous wounds. By the time you stop one bleed, another has become too severe. You are unable to save them."
input:  [ACTION]: I listen for the sound of its movement in the water. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: Filtering out the chirping of insects, you hear it: a heavy, sloshing sound to your left. That's your target."
input:  [ACTION]: I listen for the sound of its movement in the water. [CHECK]: Perception [PASS/FAIL]: Fail,output: [OUTCOME]: The swamp is a cacophony of nighttime noises. It's impossible to pick out one specific sound from the rest.
input:  [ACTION]: I focus my mind and attempt to ignore the whispers. [CHECK]: Wisdom [PASS/FAIL]: Pass,"output: [OUTCOME]: You center yourself, and the whispers fade into meaningless background noise. Your mind is your own."
input:  [ACTION]: I focus my mind and attempt to ignore the whispers. [CHECK]: Wisdom [PASS/FAIL]: Fail,output: [OUTCOME]: The whispers are too insidious. They bypass your defenses and plant seeds of paranoia and doubt in your mind.
input:  [ACTION]: I try to discern which of them is telling the truth. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: The peasant speaks with the desperation of the wronged, while the merchant's eyes shift nervously when questioned. You are certain the peasant is being truthful."
input:  [ACTION]: I try to discern which of them is telling the truth. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: Both are convincing. The peasant seems genuinely distressed, but the merchant has a signed and sealed deed. You cannot tell who is lying."
input:  [ACTION]: I maintain my footing on the treacherous surface. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: Your movements are precise and controlled. You run along the wall as if it were a wide, paved road."
input:  [ACTION]: I try to maintain my footing on the treacherous surface. [CHECK]: Acrobatics [PASS/FAIL]: Fail,output: [OUTCOME]: A loose brick gives way under your foot. You stumble and are forced to jump down from the wall to avoid a nasty fall.
input:  [ACTION]: I attempt to speak to them to find out what has them so upset. [CHECK]: Sylvan [PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to them in their own language of tinkling bells. They tell you a large, iron beast (a logging machine) has entered their woods."
input:  [ACTION]: I attempt to speak to them to find out what has them so upset. [CHECK]: Sylvan [PASS/FAIL]: Fail,"output: [OUTCOME]: Your accent in their strange language is clumsy. They either don't understand you or take offense, and they buzz around you angrily before disappearing."
input:  [ACTION]: I try to find a weak point in its mechanical joints. [CHECK]: Investigation [PASS/FAIL]: Pass,output: [OUTCOME]: You notice a poorly reinforced servo in its left leg. A well-placed blow there should cripple it.
input:  [ACTION]: I try to find a weak point in its mechanical joints. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: The construct is a masterpiece of design. Its armor plating is seamless, and there are no obvious weak points to exploit."
input:  [ACTION]: I lay my hands on them and channel divine healing energy. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You call upon your oath, and a wave of pure, divine energy washes through the commoner, purging the disease from their body. They are miraculously cured."
input:  [ACTION]: I lay my hands on them and channel divine healing energy. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: The disease is too powerful, or your faith is not strong enough this day. Your healing energy provides a moment of comfort, but it cannot cure the affliction."
input:  [ACTION]: I use my thieves' tools to try and open the cell door. [CHECK]: Thieves' Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: The lock is intricate, but you are a master of your craft. After a few tense moments, you hear a satisfying 'click' and the door swings open."
input:  [ACTION]: I use my thieves' tools to try and open the cell door. [CHECK]: Thieves' Tools [PASS/FAIL]: Fail,output: [OUTCOME]: This lock is beyond your skill. It was made by dwarves and has too many tumblers. You are unable to open it.
"input:  [ACTION]: I use my raw, brute strength to overwhelm him. [CHECK]: Athletics [PASS/FAIL]: Pass","output: [OUTCOME]: Your opponent is strong, but you are a force of nature. With a final, mighty push, you slam his hand down on the table, winning the contest."
"input:  [ACTION]: I use my raw, brute strength to overwhelm him. [CHECK]: Athletics [PASS/FAIL]: Fail","output: [OUTCOME]: You've met your match. The man's grip is like iron, and he slowly, inexorably forces your arm down onto the table. You are defeated."
input:  [ACTION]: I try to decode the message. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the patterns of a substitution cipher. It takes some time, but you are able to decode the message."
input:  [ACTION]: I try to decode the message. [CHECK]: Intelligence [PASS/FAIL]: Fail,"output: [OUTCOME]: The cipher is magically encrypted. Without the keyword, which you do not have, it's impossible to read."
input:  [ACTION]: I try to charm the information out of them. [CHECK]: Persuasion [PASS/FAIL]: Pass,output: [OUTCOME]: Your friendly and disarming nature puts the informant at ease. They let slip a crucial detail they weren't supposed to.
input:  [ACTION]: I try to charm the information out of them. [CHECK]: Persuasion [PASS/FAIL]: Fail,output: [OUTCOME]: The informant is a professional. They are immune to your charm and refuse to say a word.
input:  [ACTION]: I try to spot the source of the unnatural shadows. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your holy senses allow you to see through the illusion. The moving shadows are not shadows at all, but lesser demons hiding in the gloom."
input:  [ACTION]: I try to spot the source of the unnatural shadows. [CHECK]: Perception [PASS/FAIL]: Fail,output: [OUTCOME]: The shadows are deeply magical and confusing. You can't tell which are real and which are manifestations of the tomb's curse.
input:  [ACTION]: I try to build a snow cave for shelter. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You find a deep snowdrift and are able to quickly dig out a small, insulated cave that will protect you from the worst of the storm."
input:  [ACTION]: I try to build a snow cave for shelter. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: The snow is too powdery and will not hold its shape. You are unable to build a stable shelter and are left exposed to the elements.
input:  [ACTION]: I consult my patron about the nature of this object. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: A whisper of insight from your patron informs you that this is the egg of a Void Lurker. It is dangerous, but its shell is a potent arcane focus."
input:  [ACTION]: I consult my patron about the nature of this object. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: Your patron is silent on this matter. You are left alone with the strange, throbbing object, unsure if it is a treasure or a trap."
input:  [ACTION]: I give a speech about courage and the strength of community. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: Your heartfelt words stir something within the peasants. They find their courage and take up makeshift weapons, ready to defend their homes."
input:  [ACTION]: I give a speech about courage and the strength of community. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: You are a noble knight, and your words about honor and glory mean little to these simple farmers. They are too afraid to fight."
input:  [ACTION]: I attempt to snatch the arrow out of the air. [CHECK]: Dexterity [PASS/FAIL]: Pass,output: [OUTCOME]: Your reflexes are legendary. Your hand snaps out and plucks the arrow from the air an instant before it would have struck you.
input:  [ACTION]: I attempt to snatch the arrow out of the air. [CHECK]: Dexterity [PASS/FAIL]: Fail,"output: [OUTCOME]: The arrow is too fast. You try to catch it, but it zips past your fingers, leaving a painful sting."
input:  [ACTION]: I try to calm the bear so I can free it. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to the bear in soft, soothing tones. It seems to understand you are trying to help, and it lies still while you work on the trap."
input:  [ACTION]: I try to calm the bear so I can free it. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The bear is in too much pain and is terrified. It sees you as another threat and lashes out, making it impossible to get close to the trap."
input:  [ACTION]: I study the interaction between the gears and the arcane runes. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You see the logic of the trap's design. By jamming a single gear, you can disrupt the flow of magic and render the trap inert."
input:  [ACTION]: I study the interaction between the gears and the arcane runes. [CHECK]: Arcana [PASS/FAIL]: Fail,output: [OUTCOME]: The trap's design is baffling. The magic and the mechanics seem to work in a way that defies the known laws of both. You can't figure out how to disarm it.
input:  [ACTION]: I call upon my divine oath to protect me from the dark magic. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: Your body is wracked with pain, but your oath makes you a vessel of divine power. You are able to fight off the worst effects of the curse."
input:  [ACTION]: I call upon my divine oath to protect me from the dark magic. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The curse is too powerful. It overwhelms your defenses and settles deep into your soul, weakening you."
input:  [ACTION]: I attempt to snatch the key without waking him. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers are deft and light. The key is in your hand, and the guard snores on, oblivious."
input:  [ACTION]: I attempt to snatch the key without waking him. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: The keys jingle loudly as you touch them. The guard's eyes snap open, and he immediately reaches for his weapon."
input:  [ACTION]: I try to steer the ship through the treacherous waters. [CHECK]: Navigator's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly guide the ship through the maze of sharp rocks, your instincts and knowledge of the sea proving invaluable."
input:  [ACTION]: I try to steer the ship through the treacherous waters. [CHECK]: Navigator's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: You misjudge the current. The ship scrapes against a sharp rock with a horrible grinding sound, tearing a hole in the hull."
input:  [ACTION]: I search my memory for the relevant information. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: You recall the Treaty of the Silver Moon, including the specific clause that grants you passage through this territory."
input:  [ACTION]: I search my memory for the relevant information. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: You know of the treaty, but the specific details are fuzzy. You can't remember the exact clauses."
input:  [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your bluff is utterly convincing. Your opponents fold one by one, leaving you to collect the massive pot with a worthless hand."
input:  [ACTION]: I try to maintain a poker face and convince my opponents I have a winning hand. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: A flicker of nervousness in your eye gives you away. Your main opponent calls your bluff, and you lose everything."
input:  [ACTION]: I try to sense any aura of good or evil about them. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: As you focus, you can feel a faint but unmistakable aura of malevolence coming from the stranger. They are hiding a dark nature."
input:  [ACTION]: I try to sense any aura of good or evil about them. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The stranger's soul is a closed book. You cannot sense any particular alignment, leaving you unsure of their intentions."
"input:  [ACTION]: I look for subtle signs of its passage, like claw marks on trees. [CHECK]: Survival [PASS/FAIL]: Pass","output: [OUTCOME]: You find a series of deep gouges on the trees, all leading in the same direction. This is the beast's territory, and you are on the right track."
"input:  [ACTION]: I look for subtle signs of its passage, like claw marks on trees. [CHECK]: Survival [PASS/FAIL]: Fail","output: [OUTCOME]: The forest is immense, and you find no signs of the beast's passage. You are effectively lost, with no trail to follow."
input:  [ACTION]: I subtly hint at the dark powers I command. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: The official doesn't understand your power, but they see the chilling conviction in your eyes and decide it's not worth the risk to deny you. They quickly stamp your permit."
input:  [ACTION]: I subtly hint at the dark powers I command. [CHECK]: Intimidation [PASS/FAIL]: Fail,output: [OUTCOME]: The official is a stubborn bureaucrat who is not impressed by vague threats. They dismiss you and call for the next person in line.
input:  [ACTION]: I try to soothe the animal and keep it from bolting. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You speak to your horse in a calm, firm voice. The horse, trusting you completely, steadies itself and stands ready for your command."
input:  [ACTION]: I try to calm the animal and keep it from bolting. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The chaos of the battle is too much for the horse. It rears up in terror, throwing you from the saddle, and gallops away from the fighting."
input:  [ACTION]: I press my ear to the wall and try to hear what they are saying. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: The wall is thin, and you are able to make out every word of their secret conversation."
input:  [ACTION]: I press my ear to the wall and try to hear what they are saying. [CHECK]: Perception [PASS/FAIL]: Fail,"output: [OUTCOME]: The wall is too thick, and their voices are just a muffled murmur. You can't make out any of the words."
input:  [ACTION]: I study the cloud patterns and the behavior of the local wildlife. [CHECK]: Nature [PASS/FAIL]: Pass,output: [OUTCOME]: You notice the birds are flying low and the clouds on the horizon are a sure sign of a major storm coming in the next day or so.
input:  [ACTION]: I study the cloud patterns and the behavior of the local wildlife. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: The weather patterns are unusually erratic. You are unable to make a reliable prediction.
input:  [ACTION]: I use my knowledge of alchemy to mix the correct reagents. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully mix the volatile chemicals, and the resulting liquid bubbles and hisses. It's a potent acid that should do the trick."
input:  [ACTION]: I use my knowledge of alchemy to mix the correct reagents. [CHECK]: Alchemist's Supplies [PASS/FAIL]: Fail,"output: [OUTCOME]: You mix the ingredients in the wrong proportions. The mixture gives off a puff of foul-smelling green smoke and then solidifies into a useless, rubbery sludge."
input:  [ACTION]: I appeal to their sense of duty and honor. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: The captain is a cynic, but your unwavering conviction reminds them of why they joined the watch in the first place. They agree to help you."
input:  [ACTION]: I appeal to their sense of duty and honor. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: The captain has seen too much to be moved by words of honor. 'Duty doesn't fill my men's pockets,' they say dismissively. 'I can't help you.'"
input:  [ACTION]: I try to jury-rig a device to filter air from the water. [CHECK]: Tinker's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: You hastily assemble a contraption of tubes and magically-charged crystals. It sputters to life, producing a stream of breathable, albeit foul-tasting, air."
input:  [ACTION]: I try to jury-rig a device to filter air from the water. [CHECK]: Tinker's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: Your hastily built device fails to work. A few bubbles sputter out before it shorts with a fizzle, leaving you with even less time."
input:  [ACTION]: I publicly call out the merchant for their sacrilegious fraud. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your booming, righteous voice draws a crowd. The merchant, fearing both your wrath and the anger of the onlookers, quickly packs up their stall and flees."
input:  [ACTION]: I publicly call out the merchant for their sacrilegious fraud. [CHECK]: Intimidation [PASS/FAIL]: Fail,"output: [OUTCOME]: The merchant simply laughs, and the jaded crowd seems unbothered. 'One god is as good as another, paladin,' the merchant sneers. 'Now move along.'"
input:  [ACTION]: I try to scale the sheer brick wall to escape to the rooftops. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers and toes find purchase in the tiny cracks in the brickwork. You scramble up the wall with surprising speed, reaching the roof before the guards arrive."
input:  [ACTION]: I try to scale the sheer brick wall to escape to the rooftops. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The wall is too smooth and slick with rain. You can't get a good grip and slide back down, cornered as the guards close in."
input:  [ACTION]: I test the ice carefully before putting my full weight on it. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You can read the ice like a map, spotting the darker, thinner patches. You pick a safe path across the frozen river."
input:  [ACTION]: I test the ice carefully before putting my full weight on it. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The ice looks solid, but a loud crack echoes as you take your third step. You are plunged into the freezing water below."
"input:  [ACTION]: I present my findings in a logical, academic fashion. [CHECK]: Persuasion [PASS/FAIL]: Pass",output: [OUTCOME]: Your well-reasoned arguments and meticulously documented research allay their fears. The council grants you permission to continue your work.
"input:  [ACTION]: I present my findings in a logical, academic fashion. [CHECK]: Persuasion [PASS/FAIL]: Fail","output: [OUTCOME]: Your research touches on forbidden subjects, and the council is too conservative. They are blinded by fear and refuse to listen to your logic, ordering your research to be seized."
input:  [ACTION]: I try to mimic the dining habits of the other nobles to blend in. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: You subtly watch the others and mirror their actions, using the correct fork and sipping your wine at the appropriate times. You fit in perfectly."
input:  [ACTION]: I try to mimic the dining habits of the other nobles to blend in. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: You grab the wrong fork, causing a nearby duchess to gasp in horror. Your attempts to blend in have only made you stand out as a commoner."
input:  [ACTION]: I test the ropes to find a weak point. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the knot is poorly tied. By shifting your weight back and forth, you are able to work it loose enough to slip one hand free."
input:  [ACTION]: I test the ropes to find a weak point. [CHECK]: Investigation [PASS/FAIL]: Fail,output: [OUTCOME]: The ropes are thick and the knots are expertly tied. There are no weak points; you are completely immobilized.
input:  [ACTION]: I use my knowledge of monstrous creatures to identify the sound. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the howl, though you hoped you'd never hear it. It's the cry of a Worg, a creature of supernatural evil and cunning."
input:  [ACTION]: I use my knowledge of monstrous creatures to identify the sound. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: The howl is unlike anything you've ever heard. It's a chilling sound from a creature completely outside your experience.
input:  [ACTION]: I reach out with my mind to probe their consciousness. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You are able to pick up fleeting images and emotions from the person's mind, giving you a clue as to their true intentions."
input:  [ACTION]: I reach out with my mind to probe their consciousness. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The person's mind is a fortress. You are met with a wall of mental static, unable to read anything."
input:  [ACTION]: I urge my steed onward to make the leap. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: Your horse trusts you completely. It gallops to the edge and leaps, its powerful legs carrying you both safely to the other side."
input:  [ACTION]: I urge my steed onward to make the leap. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The chasm is too wide, and the horse knows it. It skids to a halt at the edge, nearly throwing you into the abyss."
input:  [ACTION]: I try to weave through the crowd without losing speed. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You move through the crowd like water flowing around rocks, never breaking stride as you keep your eyes locked on the fleeing thief."
input:  [ACTION]: I try to weave through the crowd without losing speed. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: The crowd is too dense. You are constantly blocked and jostled, and you quickly lose sight of the thief in the throng of people."
input:  [ACTION]: I transform into a falcon to search from the sky. [CHECK]: Druidic Magic [PASS/FAIL]: Pass,"output: [OUTCOME]: You soar high above the city, your keen falcon eyes scanning the streets below. You spot a person matching the description heading towards the docks."
input:  [ACTION]: I transform into a falcon to search from the sky. [CHECK]: Druidic Magic [PASS/FAIL]: Fail,"output: [OUTCOME]: The city is a sprawling maze of similar-looking buildings and crowded streets. From above, everyone looks like an ant. You can't find them."
input:  [ACTION]: I try to attach a charged crystal to my crossbow. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You expertly wire the crystal into the crossbow's frame. The weapon now hums with magical energy, ready to fire an enchanted bolt."
input:  [ACTION]: I try to attach a charged crystal to my crossbow. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: You don't create a proper circuit for the magic. The crystal's energy discharges with a harmless but startling flash, leaving it inert."
input:  [ACTION]: I attempt to smash the door with my warhammer. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You channel your divine might into the blow. The warhammer smashes through the door and the dark magic sealing it, shattering both."
input:  [ACTION]: I attempt to smash the door with my warhammer. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The dark magic reinforces the door. Your warhammer bounces off with a dull thud, the dark energy absorbing the force of your blow."
input:  [ACTION]: I watch their hands closely for any sign of cheating. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: You spot it: a faint, impossibly fast movement as your opponent slips a card from their sleeve. They are definitely cheating."
input:  [ACTION]: I watch their hands closely for any sign of cheating. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: Your opponent is a master card sharp. Their hands are a blur, and you can't spot any evidence of cheating, even though you feel certain it's happening."
input:  [ACTION]: I try to set a snare to catch a rabbit. [CHECK]: Survival [PASS/FAIL]: Pass,output: [OUTCOME]: You create a simple but effective snare. You don't have to wait long before a plump rabbit is caught in your trap.
input:  [ACTION]: I try to set a snare to catch a rabbit. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: Your hands are too large and clumsy for the delicate work. The snare mechanism is poorly made and fails to spring when a rabbit runs past.
input:  [ACTION]: I use my knowledge to mix the correct ingredients. [CHECK]: Herbalism Kit [PASS/FAIL]: Pass,"output: [OUTCOME]: You carefully mix the reagents, and the potion glows with a soft, warm light. It's a perfectly brewed healing potion."
input:  [ACTION]: I use my knowledge to mix the correct ingredients. [CHECK]: Herbalism Kit [PASS/FAIL]: Fail,output: [OUTCOME]: You add a drop too much of silver dust. The potion turns a sickly grey color and becomes completely inert.
input:  [ACTION]: I try to remember the poem in its entirety. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: The epic tale comes to you, and you are able to recite it word for word, impressing the scholars at the Great Library."
input:  [ACTION]: I try to remember the poem in its entirety. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: You can remember the first and last verses, but the long, complex middle section of the poem is a complete blank."
input:  [ACTION]: I look for any symbols or architecture that seem out of place. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that one of the murals depicts a saint pointing at a specific spot on the wall. When you press it, a secret door slides open."
input:  [ACTION]: I look for any symbols or architecture that seem out of place. [CHECK]: Investigation [PASS/FAIL]: Fail,output: [OUTCOME]: The temple is a maze of crumbling stone and faded murals. You search for hours but find nothing that suggests a secret passage.
input:  [ACTION]: I use my tools to fletch some new arrows. [CHECK]: Woodcarver's Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: Your hands are steady and practiced. You are able to craft a dozen straight, well-balanced arrows."
input:  [ACTION]: I use my tools to fletch some new arrows. [CHECK]: Woodcarver's Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: The wood you've gathered is warped, and you are unable to craft any arrows that would fly true. The work is wasted."
